Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-10-03),,,,,,,,,,,136,595,,
2020,816,25,,,,,,,,,116,741,,
2019,835,21,,,,,,,,,212,360,,
2018,598,26,,,,,,,,,279,248,,
2018,598,26,,,,,,,,,279,248,,
2017,397,95,,,,,,,,,219,330,,
2016,371,102,,,,,,,,,355,146,,
2015,576,42,,,,,,,,,404,115,,
2014,750,20,,,,,,,,,638,42,,
2013,677,38,,,,,,,,,713,44,,
2012,956,11,,,,,,,,,,,,
2011,907,15,,,,,,,,,1025,15,,
2010,959,10,,,,,,,,,,,,
