Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2022 ITF Prague F,L vs Chwalinska,4.8%,12.9%,49.1%,5.9%,15.7%,50.0%,39.3%,26.1%,50.0%,0.0%,0.0%,44.4%,0.0%,0.0%,0.0%,-119
2021 Gdynia QF,L vs Kucova,7.1%,17.0%,44.9%,7.0%,18.3%,47.7%,13.3%,51.4%,46.2%,9.1%,13.6%,30.0%,28.6%,12.5%,0.0%,-30
2019 Palermo R32,L vs Bertens,6.6%,13.1%,41.5%,9.7%,19.4%,42.9%,7.7%,61.1%,75.0%,3.8%,7.7%,40.0%,26.7%,27.3%,40.0%,-80
2018 US Open Q2,L vs Bouchard,19.6%,21.7%,27.0%,25.8%,25.8%,34.8%,37.5%,20.0%,33.3%,6.7%,13.3%,14.3%,0.0%,37.5%,0.0%,-104
Career (4 matches),,8.4%,16.1%,42.7%,9.6%,18.9%,46.1%,23.5%,44.4%,53.6%,5.6%,9.7%,32.4%,21.1%,20.6%,20.0%,-62
