Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),1183,9,,,,,,,,,,,,
2025,1155,10,,,,,,,,,,,,
2024,589,58,,,,,,,,,706,62,,
2023,318,165,321,1406,314,1368,304,1367,,,,,,
2022,234,238,281,1462,277,1408,261,1431,227,1379,,,,
2021,252,246,245,1490,274,1402,212,1472,,,,,,
2020,293,168,247,1440,243,1397,241,1384,,,459,92,,
2019,278,146,321,1422,371,1319,284,1399,,,510,75,,
2018,264,158,318,1386,333,1304,275,1383,227,1368,446,47,,
2017,302,164,,,,,,,,,215,296,,
2016,483,81,,,,,,,,,274,251,,
2015,748,32,,,,,,,,,437,142,,
2014,1354,4,,,,,,,,,1361,12,,
