Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2016 Canberra CH R32,L vs Thompson,0.94,0.61,48.7,2.0,6.5%,61.3%,3.7%,51.9%,31.3%,24.1%
2016 Atlanta Q1,L vs Zverev,1.05,0.38,36.6,2.1,8.8%,58.8%,6.1%,51.5%,17.4%,15.0%
2016 Winnipeg CH R32,L vs Nishioka,0.98,0.59,48.7,2.0,23.1%,59.0%,20.0%,57.1%,21.9%,29.0%
2016 s Hertogenbosch Q1,L vs Chiudinelli,0.81,0.85,57.5,4.9,14.6%,63.4%,28.6%,71.4%,24.5%,44.9%
2016 Manchester CH R16,L vs Gojowczyk,0.97,0.81,63.8,2.4,18.6%,62.7%,10.0%,66.0%,30.4%,29.4%
2016 Manchester CH R32,W vs Kravchuk,1.33,1.54,46.3,2.6,24.3%,78.4%,9.7%,64.5%,35.5%,28.6%
2016 Gwangju CH QF,L vs Zemlja,0.89,0.42,36.5,2.0,10.5%,36.8%,5.9%,52.9%,25.0%,27.3%
2016 Gwangju CH R16,W vs Przysiezny,1.07,1.41,70.7,2.4,10.4%,81.3%,14.0%,67.4%,32.1%,34.7%
2016 USA F11 R16,L vs Escobedo,1.11,0.58,46.3,2.0,16.7%,70.0%,11.5%,50.0%,14.3%,26.9%
2016 Brisbane Q1,L vs Smyczek,0.95,0.86,70.0,3.4,14.0%,64.0%,6.3%,58.3%,34.5%,36.4%
2015 Sacramento CH R16,W vs Rola,1.52,1.26,51.2,4.4,11.4%,65.9%,5.1%,64.1%,25.0%,33.3%
2015 Columbus CH R32,L vs Laaksonen,0.93,0.30,33.1,2.0,10.0%,50.0%,6.9%,62.1%,8.7%,21.1%
2015 Newport Q Q1,L vs Hernych,0.85,0.92,80.0,11.7,3.8%,69.2%,15.6%,66.7%,36.8%,32.1%
2015 s-Hertogenbosch Q Q2,L vs Ito,0.90,0.62,45.3,2.4,17.2%,62.1%,10.7%,57.1%,28.6%,27.3%
2015 Manchester CH R16,L vs Ebden,0.95,0.59,53.4,2.0,5.4%,59.5%,8.8%,67.6%,21.9%,24.1%
2015 Manchester CH R32,W vs Jaziri,1.15,1.88,41.1,2.1,7.1%,71.4%,8.3%,79.2%,46.7%,34.6%
2014 US Open Q Q1,L vs Gojowczyk,1.09,0.38,35.0,2.1,12.5%,50.0%,14.3%,52.4%,19.0%,15.0%
2014 Vancouver CH R32,L vs Evans,1.05,0.85,74.8,6.8,10.2%,55.9%,7.1%,64.3%,32.0%,32.6%
2014 Busan CH R16,L vs Kravchuk,1.01,0.30,37.6,2.2,6.3%,53.1%,3.1%,53.1%,18.2%,9.5%
2014 Shenzhen CH QF,L vs Lacko,1.02,0.27,54.4,2.0,14.3%,59.5%,2.7%,64.9%,11.5%,8.7%
2016 (10 matches),,1.00,0.80,55.9,2.4,15.2%,65.2%,11.9%,60.3%,27.9%,31.7%
2015 (6 matches),,1.05,0.88,54.4,2.7,8.6%,63.6%,9.5%,65.8%,29.5%,29.6%
2014 (9 matches),,1.01,0.68,56.8,2.5,9.5%,59.5%,9.5%,59.2%,30.1%,25.0%
2013 (13 matches),,0.93,0.65,43.1,2.2,9.1%,58.4%,13.6%,59.9%,28.1%,28.8%
2012 (10 matches),,0.92,0.75,53.6,3.0,6.7%,59.5%,6.5%,54.2%,36.1%,33.2%
Career (48 matches),,0.97,0.74,52.3,2.5,10.6%,61.0%,10.7%,59.3%,30.4%,29.9%
