Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,365,294,71,80.5%,643-203,76.0%,4611-2983,60.7%,58-39,59.8%,49,79.6%,31.2%,7.1%,4.5%,56.1%,73.9%,51.0%,63.8%,41.5%,52.4%,1.15
Clay,174,125,49,71.8%,287-131,68.7%,2156-1556,58.1%,20-25,44.4%,6,73.7%,20.3%,5.6%,4.3%,53.9%,73.4%,45.0%,60.3%,36.8%,48.5%,0.93
Grass,142,121,21,85.2%,290-82,78.0%,2088-1347,60.8%,36-17,67.9%,14,87.4%,23.1%,6.0%,4.9%,61.1%,79.2%,49.1%,67.5%,37.0%,51.9%,1.14
Carpet,426,358,68,84.0%,724-178,80.3%,5001-3083,61.9%,79-41,65.8%,26,83.0%,23.0%,7.2%,6.6%,54.8%,76.3%,50.5%,64.6%,37.4%,51.2%,1.06
Grand Slams,206,168,38,81.6%,471-155,75.2%,3430-2268,60.2%,57-32,64.0%,22,82.4%,28.6%,5.6%,3.9%,60.8%,75.8%,47.8%,64.8%,39.7%,52.2%,1.13
Masters,132,93,39,70.5%,187-86,68.5%,1418-1023,58.1%,18-20,47.4%,15,81.4%,29.4%,6.6%,5.3%,55.2%,74.4%,51.6%,64.2%,39.7%,52.1%,1.11
Other Tours,726,602,124,82.9%,1177-317,78.8%,8162-5070,61.7%,121-72,62.7%,58,80.8%,25.6%,7.6%,5.8%,54.2%,75.5%,51.0%,64.3%,39.2%,51.4%,1.10
Best of 5,286,232,54,81.1%,663-220,75.1%,4872-3299,59.6%,78-39,66.7%,23,81.7%,27.8%,5.7%,3.9%,60.4%,75.7%,47.4%,64.5%,39.3%,51.9%,1.11
Best of 3,827,672,155,81.3%,1291-375,77.5%,9050-5700,61.4%,118-85,58.1%,72,81.3%,26.7%,7.4%,5.7%,54.4%,75.3%,51.3%,64.4%,39.5%,51.7%,1.11
Finals,114,79,35,69.3%,177-93,65.6%,1383-1072,56.3%,32-17,65.3%,2,70.4%,18.5%,13.9%,6.6%,54.2%,76.7%,42.1%,60.8%,35.1%,47.6%,0.90
Semi-finals,161,111,50,68.9%,233-118,66.4%,1805-1382,56.6%,29-24,54.7%,7,69.6%,19.2%,5.3%,5.5%,53.2%,70.0%,45.0%,58.3%,35.4%,47.0%,0.85
Quarter-finals,187,151,36,80.7%,310-99,75.8%,2175-1439,60.2%,28-22,56.0%,13,77.2%,19.1%,6.2%,3.9%,57.7%,74.8%,47.9%,63.4%,35.2%,49.5%,0.96
vs Righties,947,777,170,82.0%,1674-483,77.6%,11876-7564,61.1%,164-115,58.8%,77,81.6%,26.5%,6.8%,4.9%,57.2%,75.4%,49.6%,64.4%,39.2%,51.6%,1.10
vs Lefties,165,126,39,76.4%,278-112,71.3%,2034-1430,58.7%,32-9,78.0%,18,80.7%,30.0%,6.8%,5.9%,53.1%,75.8%,52.3%,64.8%,40.3%,52.6%,1.14
vs Top 10,217,125,92,57.6%,305-236,56.4%,2665-2388,52.7%,40-36,52.6%,17,74.4%,13.6%,4.6%,4.7%,59.4%,70.3%,46.8%,60.8%,32.6%,46.9%,0.83
