Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2006,,,,,,,,,,,242,230,,
1994,1219,1,,,,,,,,,396,104,,
1992,20,,17,1976,14,1947,33,1838,10,1911,9,2203,,
1991,28,,17,1953,14,1922,35,1831,12,1862,150,355,,
1990,13,,8,2008,7,1979,,,5,1898,347,73,,
1989,4,,4,2130,4,2071,,,4,2019,3,,,
1988,11,,9,2059,6,2030,10,1978,6,1966,49,,,
1987,10,,5,2165,4,2116,5,2113,,,82,,,
1986,14,,3,2229,3,2174,,,,,12,,,
1985,2,,1,2385,1,2331,2,2285,1,2282,34,,,
1984,1,,1,2442,1,2326,1,2313,1,2338,2,,,
1983,1,,1,2332,1,2234,2,2208,1,2254,,,,
1982,1,,1,2345,1,2274,2,2192,1,2271,,,,
1981,1,,3,2321,3,2271,5,2167,2,2269,,,,
1980,2,,2,2290,2,2227,4,2146,2,2206,,,,
1979,3,,2,2321,2,2219,3,2172,3,2147,,,,
1978,4,,3,2193,3,2058,7,2077,9,1972,,,,
1977,18,,17,1963,43,1745,17,1935,18,1849,,,,
1976,264,,,,,,,,,,,,,
