Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1992 Wimbledon SF,L vs Agassi,30.8%,44.9%,34.0%,36.9%,37.0%,50.0%,31.0%,47.4%,40.0%,33.3%,0.0%,28.0%,48.0%,38.9%,122
1992 Wimbledon QF,W vs Forget,45.3%,64.0%,55.0%,54.7%,54.5%,72.7%,60.0%,69.1%,40.9%,21.2%,-,37.5%,62.5%,46.7%,37
1992 Wimbledon R64,W vs Cash,34.1%,59.4%,53.8%,46.6%,38.2%,70.6%,66.7%,59.1%,59.1%,55.2%,28.6%,30.6%,46.8%,34.9%,55
1992 Australian Open QF,L vs Ferreira,39.1%,50.6%,43.4%,44.6%,56.3%,68.8%,47.6%,66.3%,26.1%,52.0%,66.7%,17.9%,28.2%,40.6%,-79
1992 Australian Open R32,W vs Becker,26.7%,41.6%,50.7%,37.9%,33.8%,53.8%,55.8%,51.2%,14.3%,48.6%,20.0%,15.2%,21.2%,42.9%,35
1991 US Open R32,L vs Chang,23.6%,37.1%,37.7%,30.1%,28.4%,45.3%,36.8%,40.6%,34.1%,61.1%,83.3%,28.3%,43.4%,39.5%,-24
1991 New Haven QF,L vs Ivanisevic,27.4%,41.9%,40.0%,33.4%,31.3%,46.9%,36.4%,42.8%,37.5%,50.0%,83.3%,28.0%,44.0%,44.4%,138
1991 Wimbledon R16,L vs Edberg,36.0%,52.8%,39.2%,44.7%,39.6%,62.3%,50.0%,54.3%,17.2%,75.0%,80.0%,36.7%,46.7%,21.1%,137
1991 Roland Garros R128,L vs Cherkasov,17.7%,27.7%,42.0%,23.5%,34.0%,50.0%,45.5%,49.2%,48.0%,60.0%,50.0%,11.1%,20.4%,39.6%,-25
1991 Philadelphia SF,L vs Sampras,35.6%,47.5%,37.1%,42.0%,44.8%,58.6%,56.3%,57.9%,33.3%,52.9%,100.0%,29.6%,40.7%,21.1%,72
1990 Basel F,W vs Ivanisevic,33.7%,48.6%,48.0%,41.2%,46.5%,67.7%,54.7%,60.1%,39.0%,53.4%,42.9%,24.2%,33.9%,40.4%,55
1990 US Open SF,L vs Sampras,36.2%,49.1%,43.9%,40.7%,47.9%,58.9%,39.5%,55.1%,16.7%,43.2%,66.7%,20.0%,40.0%,50.0%,61
1990 US Open R16,W vs Sanchez,36.1%,53.8%,53.8%,44.5%,46.2%,64.5%,56.0%,60.5%,25.6%,66.0%,90.0%,24.6%,43.9%,51.2%,107
1990 Wimbledon R128,L vs Rostagno,34.0%,45.6%,33.3%,36.9%,48.9%,61.7%,25.0%,55.3%,25.0%,48.1%,66.7%,40.0%,60.0%,44.4%,208
1990 Queens Club SF,L vs Lendl,34.5%,38.2%,25.0%,36.5%,64.0%,68.0%,22.2%,68.4%,10.0%,53.3%,100.0%,16.7%,22.2%,26.7%,47
1990 Australian Open R16,L vs Pernfors,25.6%,43.2%,45.1%,30.2%,40.4%,56.1%,35.3%,50.4%,46.2%,64.5%,50.0%,15.8%,38.6%,52.1%,30
1989 Canada F,L vs Lendl,34.1%,38.6%,25.9%,38.0%,40.0%,43.3%,16.7%,45.7%,14.3%,62.5%,0.0%,25.0%,33.3%,44.4%,118
1989 Wimbledon SF,L vs Edberg,40.3%,54.8%,47.7%,47.2%,49.2%,67.2%,58.1%,63.1%,24.0%,44.4%,50.0%,37.0%,50.0%,38.2%,137
1989 Tokyo Outdoor SF,L vs Edberg,20.8%,31.3%,38.9%,26.3%,50.0%,75.0%,62.5%,66.3%,28.6%,66.7%,100.0%,16.7%,25.0%,20.0%,-79
1989 Dallas WCT SF,W vs Lendl,35.5%,52.3%,47.0%,42.5%,48.5%,65.7%,47.1%,60.7%,30.8%,63.3%,75.0%,21.0%,40.3%,46.9%,83
Career (64 matches),,31.8%,46.5%,47.5%,39.0%,42.8%,60.0%,50.1%,55.9%,36.6%,54.5%,54.8%,22.6%,37.0%,44.6%,76
