Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,8,3,5,37.5%,1,0,1,0.0%,2012,2016,Q3,7,0.97,6.0%,5.5%,59.1%,66.1%,49.3%,59.2%,39.6%,52.1%,50.0%
Roland Garros,3,Clay,4,1,3,25.0%,1,0,1,0.0%,2009,2014,Q2,2,0.77,4.9%,4.9%,50.0%,63.9%,41.0%,52.5%,36.5%,33.3%,36.4%
Wimbledon,4,Grass,4,0,4,0.0%,3,2,1,66.7%,2012,2018,Q1,0,,,,,,,,,,
US Open,2,Hard,5,3,2,60.0%,1,0,1,0.0%,2011,2012,Q3,5,1.11,9.5%,2.4%,60.2%,68.9%,51.7%,62.0%,42.1%,68.2%,32.1%
Davis Cup,8,,19,5,14,26.3%,9,4,5,44.4%,2008,2016,,2,0.99,13.3%,5.3%,64.0%,72.9%,44.4%,62.7%,37.0%,50.0%,40.0%
Beijing,5,Hard,5,0,5,0.0%,1,0,1,0.0%,2009,2014,R32,4,0.78,6.2%,4.8%,53.8%,78.2%,41.3%,61.2%,30.3%,60.7%,33.3%
Chennai,2,Hard,5,3,2,60.0%,3,1,2,33.3%,2010,2012,R32,5,1.04,5.9%,4.6%,59.9%,73.1%,51.7%,64.5%,36.9%,67.6%,54.2%
Bangkok,2,Hard,6,4,2,66.7%,1,0,1,0.0%,2010,2012,R32,6,1.15,6.9%,1.6%,63.6%,71.0%,56.5%,65.7%,39.3%,62.5%,59.4%
Auckland,2,Hard,3,1,2,33.3%,0,0,0,-,2010,2012,Q3,3,0.90,5.7%,1.9%,63.6%,64.5%,46.3%,57.9%,38.0%,70.6%,50.0%
Shanghai Masters,3,Hard,3,0,3,0.0%,1,0,1,0.0%,2009,2011,R64,2,0.73,8.7%,2.4%,53.5%,66.2%,47.5%,57.5%,30.9%,53.8%,40.0%
