Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,16,7,9,43.8%,7,4,3,57.1%,1997,2005,QF,15,0.91,2.8%,3.2%,67.4%,66.3%,47.1%,60.1%,36.5%,61.2%,45.2%
Roland Garros,9,Clay,26,17,9,65.4%,9,7,2,77.8%,1996,2005,SF,26,1.07,3.5%,2.3%,62.6%,67.0%,50.6%,60.9%,42.0%,63.1%,42.7%
Wimbledon,8,Grass,13,5,8,38.5%,12,6,6,50.0%,1996,2005,R32,13,0.85,5.0%,4.7%,57.2%,70.7%,44.8%,59.6%,34.4%,56.0%,36.9%
US Open,8,Hard,14,6,8,42.9%,8,4,4,50.0%,1996,2005,R16,14,0.86,3.5%,3.1%,60.4%,68.4%,47.6%,60.2%,34.3%,55.1%,47.4%
Davis Cup,1,,1,1,0,100.0%,1,1,0,100.0%,1999,1999,,0,,,,,,,,,,
Barcelona,11,Clay,26,16,10,61.5%,8,3,5,37.5%,1996,2007,W,26,1.11,3.7%,2.3%,63.0%,66.6%,54.0%,62.0%,42.3%,64.3%,44.7%
Monte Carlo Masters,9,Clay,22,13,9,59.1%,6,3,3,50.0%,1996,2005,SF,22,1.09,2.3%,2.3%,62.9%,65.0%,49.4%,59.2%,44.4%,44.5%,50.6%
Gstaad,8,Clay,26,19,7,73.1%,7,6,1,85.7%,1996,2004,W,26,1.11,2.8%,3.2%,63.5%,66.8%,53.6%,62.0%,42.3%,62.2%,46.2%
Rome Masters,8,Clay,25,18,7,72.0%,8,4,4,50.0%,1997,2004,W,25,1.08,2.7%,3.3%,65.1%,66.7%,51.0%,61.2%,41.9%,61.7%,53.8%
Umag,8,Clay,22,15,7,68.2%,7,5,2,71.4%,1996,2007,W,22,1.12,4.3%,3.2%,60.0%,65.1%,49.3%,58.8%,46.0%,60.0%,57.0%
Estoril,7,Clay,19,12,7,63.2%,4,1,3,25.0%,1997,2005,F,19,1.10,2.5%,3.2%,62.3%,66.2%,49.3%,59.8%,44.2%,62.2%,44.8%
