Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2007,425,72,129,1638,,,93,1650,,,,,,
2005,117,375,87,1708,91,1648,64,1705,,,,,,
2004,102,433,70,1763,74,1690,42,1775,108,1548,509,71,,
2003,22,1265,45,1824,44,1761,21,1846,100,1565,287,155,,
2002,55,680,51,1823,50,1770,34,1802,,,420,80,,
2001,45,850,35,1871,51,1762,16,1881,75,1611,869,22,,
2000,99,410,38,1863,45,1773,21,1875,74,1621,1232,5,,
1999,22,1458,35,1867,35,1800,14,1899,64,1647,512,77,,
1998,20,1643,26,1920,28,1851,8,1931,45,1686,487,76,,
1997,16,2110,13,1969,39,1804,3,2018,,,1272,3,,
1996,18,1505,27,1916,119,1649,21,1918,69,1644,636,47,,
1995,92,,111,1730,225,1460,82,1733,,,543,60,,
1994,233,,,,,,,,,,611,45,,
1993,431,,,,,,,,,,844,16,,
1992,691,,,,,,,,,,827,10,,
