Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2004 Roland Garros R64,L vs Safin,14.7%,19.6%,47.3%,19.2%,13.9%,18.5%,47.7%,20.6%,51.4%,63.3%,85.0%,18.8%,25.0%,46.2%,68
2003 Rome F,W vs Federer,15.1%,19.4%,53.5%,20.3%,14.0%,19.6%,56.5%,20.7%,28.3%,90.2%,100.0%,21.4%,21.4%,40.9%,88
2003 Rome SF,W vs Kafelnikov,11.9%,13.6%,51.0%,14.7%,16.1%,18.4%,53.4%,20.0%,25.6%,43.8%,12.5%,0.0%,0.0%,45.2%,-118
2002 Rome R64,W vs Sampras,23.5%,31.6%,62.3%,27.2%,30.3%,37.9%,63.0%,35.9%,18.8%,82.4%,100.0%,11.5%,23.1%,60.9%,-4
1999 Rome SF,L vs Rafter,25.0%,36.7%,48.9%,31.8%,22.5%,40.0%,58.1%,32.8%,29.4%,60.9%,40.0%,30.0%,30.0%,28.6%,-79
1999 Monte Carlo SF,L vs Kuerten,19.5%,26.0%,56.7%,22.9%,23.4%,31.9%,63.9%,28.9%,31.8%,56.0%,100.0%,14.3%,17.9%,45.8%,22
1998 Long Island F,L vs Rafter,27.9%,39.7%,48.8%,31.8%,42.9%,57.1%,56.3%,52.1%,42.9%,64.3%,100.0%,20.6%,32.4%,44.4%,80
1998 Roland Garros SF,L vs Moya,22.0%,32.1%,48.1%,26.9%,29.5%,41.0%,46.5%,38.2%,56.3%,51.7%,0.0%,14.3%,23.8%,50.0%,22
1998 Hamburg SF,L vs Corretja,12.3%,21.0%,49.3%,17.0%,18.4%,26.5%,45.0%,26.1%,34.6%,69.6%,100.0%,3.3%,13.3%,55.2%,-82
1997 Hamburg F,L vs Medvedev,10.7%,16.7%,43.2%,13.9%,7.8%,12.5%,40.7%,12.0%,25.9%,62.2%,75.0%,21.1%,31.6%,53.3%,-79
1997 Hamburg SF,W vs Haas,26.3%,36.3%,62.1%,33.0%,29.5%,39.3%,62.8%,38.4%,3.8%,54.3%,100.0%,16.7%,27.8%,60.0%,1
Career (11 matches),,17.9%,24.8%,51.3%,22.4%,20.0%,27.2%,52.7%,26.7%,33.7%,64.7%,72.9%,15.3%,22.1%,48.3%,32
