Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2022 Roland Garros R64,L vs Tsitsipas,1.3%,100.0%,8.8%,75.9%,10.1%,10.0%,0.0%,5.5%,50.0%,5.0%,50.0%,-26,-7
2022 Barletta CH SF,L vs Borges,0.0%,-,2.8%,50.0%,14.7%,22.9%,0.0%,4.6%,33.3%,1.8%,66.7%,-31,-54
2016 Ostrava CH F,L vs Lestienne,0.0%,-,6.3%,50.0%,7.0%,9.1%,25.0%,3.3%,8.6%,3.1%,25.0%,36,44
Career (3 matches),,0.6%,100.0%,6.8%,66.7%,10.8%,13.6%,3.6%,4.4%,20.4%,3.6%,45.7%,-9,-4
