Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2022 Wimbledon R128,L vs Bonzi,54% (7/13),- (0/0),0/0,0/0,50% (5/10),3/6,2/3,- (0/0),- (0/0)
2022 Roland Garros R64,L vs Tsitsipas,68% (19/28),25% (2/8),1/9,0/0,75% (9/12),3/6,1/2,59% (13/22),41% (9/22)
2022 Barletta CH SF,L vs Borges,55% (6/11),60% (3/5),0/2,0/0,50% (4/8),3/5,2/3,63% (5/8),25% (2/8)
2019 Portoroz CH R16,W vs Stakhovsky,59% (10/17),56% (5/9),2/2,1/1,44% (4/9),1/2,0/0,- (0/0),- (0/0)
2019 Portoroz CH R32,W vs Simon,67% (8/12),57% (4/7),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 Sopot CH R32,L vs Elias,47% (8/17),86% (6/7),1/1,0/0,50% (7/14),3/5,1/2,- (0/0),- (0/0)
2019 Braga CH R32,W vs Cachin,60% (9/15),53% (8/15),2/7,1/6,45% (5/11),1/2,0/0,- (0/0),- (0/0)
2019 Bordeaux CH R16,L vs Barrere,42% (8/19),50% (4/8),1/1,0/0,44% (4/9),1/3,0/1,- (0/0),- (0/0)
2019 Bordeaux CH R32,W vs Escoffier,70% (7/10),45% (5/11),2/6,1/5,75% (9/12),0/0,0/0,60% (3/5),67% (4/6)
2019 Tunis CH R32,L vs Giustino,60% (3/5),33% (1/3),0/0,0/0,38% (3/8),1/3,0/1,- (0/0),- (0/0)
2019 Tunis CH R64,W vs Perez Sanz,64% (7/11),33% (5/15),2/5,1/4,57% (4/7),0/0,0/0,- (0/0),- (0/0)
2019 Barletta CH R64,L vs Grigelis,48% (10/21),67% (4/6),1/1,0/0,33% (2/6),1/3,1/2,- (0/0),- (0/0)
2019 Sophia Antipolis CH R64,L vs Miedler,92% (12/13),23% (3/13),1/7,0/0,55% (6/11),4/6,0/1,78% (7/9),33% (3/9)
2019 Marbella CH R32,L vs Baldi,60% (6/10),25% (3/12),0/5,0/0,50% (4/8),0/2,0/1,40% (2/5),33% (2/6)
2019 Pau CH R16,L vs Gombos,54% (13/24),20% (2/10),1/3,0/0,73% (8/11),0/2,0/1,55% (6/11),42% (5/12)
2019 Pau CH R32,W vs Griekspoor,65% (15/23),44% (4/9),2/3,1/1,75% (6/8),2/3,0/0,25% (1/4),20% (1/5)
2019 Pau CH R64,W vs Jacq,62% (8/13),80% (4/5),2/5,1/4,71% (5/7),0/0,0/0,- (0/0),- (0/0)
2019 Bergamo CH R32,L vs Giustino,100% (2/2),100% (1/1),0/0,0/0,17% (1/6),0/2,0/1,- (0/0),- (0/0)
2019 Bergamo CH R64,W vs Caruana,63% (10/16),50% (2/4),2/2,1/1,50% (1/2),0/0,0/0,100% (4/4),60% (3/5)
2019 Cherbourg CH R16,L vs Rosol,67% (8/12),100% (1/1),1/1,0/0,56% (5/9),0/2,0/1,- (0/0),- (0/0)
2022 (3 matches),,61.5%,38.5%,9.1%,-,60.0%,52.9%,62.5%,60.0%,36.7%
2019 (26 matches),,59.6%,47.9%,48.5%,43.3%,56.1%,43.6%,23.5%,61.2%,38.2%
2018 (14 matches),,61.5%,44.1%,45.5%,60.0%,62.2%,53.8%,60.0%,45.5%,20.0%
2017 (18 matches),,56.5%,37.2%,57.1%,50.0%,53.8%,54.2%,61.3%,69.4%,33.3%
2016 (11 matches),,68.3%,41.7%,50.0%,60.0%,53.5%,28.6%,0.0%,55.0%,50.0%
Career (72 matches),,60.5%,43.2%,47.0%,50.0%,56.5%,48.2%,49.4%,61.0%,37.1%
