Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),672,64,,,,,,,,,171,460,,
2025,647,67,,,,,,,,,200,413
2024,499,101,479,1130,466,1114,,,,,196,396
2023,544,86,,,,,,,,,,
2022,448,98,,,,,,,,,,
2021,544,83,,,,,,,,,,
2020,352,143,,,,,,,,,364,213
2019,337,153,316,1304,293,1305,308,1195,,,265,281
2018,272,187,240,1330,239,1317,,,,,255,276
2017,279,183,230,1298,228,1278,211,1232,,,182,412
2016,201,277,219,1375,219,1358,208,1272,202,1249,122,593
2015,183,283,197,1432,190,1426,196,1304,183,1351,169,391
2014,190,274,224,1452,214,1433,,,166,1394,139,533
2013,287,184,,,,,,,,,493,94
2012,595,42,,,,,,,,,694,39
2011,1091,7,,,,,,,,,,
2010,,,,,,,,,,,887,16
