Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R16,L vs Bencic,67.9%,41.7%,11.3%,3/3,2.45,7.7%,69.6%,37.5%,10.9%,2.27,10.7%,66.7%,75.0%,16.7%,2.93,0.0%
2026 Miami R32,W vs Starodubtseva,67.9%,69.4%,5.7%,3/0,2.41,8.3%,61.1%,68.2%,0.0%,2.27,15.8%,100.0%,71.4%,21.4%,2.56,0.0%
2026 Indian Wells R16,L vs Mboko,48.9%,34.8%,2.1%,0/1,2.53,8.2%,51.5%,35.3%,0.0%,2.50,11.8%,66.7%,33.3%,11.1%,2.59,0.0%
2026 Indian Wells R32,W vs Raducanu,66.7%,84.6%,0.0%,0/0,2.44,4.2%,86.4%,84.2%,0.0%,2.34,7.1%,50.0%,85.7%,0.0%,2.58,0.0%
2026 Dubai QF,W vs Andreeva,68.6%,63.0%,1.7%,0/2,2.20,8.0%,68.1%,59.2%,1.4%,2.37,9.7%,82.1%,68.8%,2.6%,1.76,4.0%
2026 Australian Open QF,L vs Pegula,66.1%,43.9%,12.9%,3/5,2.34,16.3%,70.3%,42.3%,10.8%,2.27,23.5%,65.2%,46.7%,17.4%,2.50,0.0%
2026 Brisbane R16,L vs Kostyuk,53.3%,53.1%,16.7%,1/9,2.73,36.4%,56.1%,43.5%,7.3%,2.58,42.9%,60.0%,77.8%,46.7%,3.00,25.0%
2025 Riyadh Finals SF,L vs Sabalenka,60.4%,62.3%,4.0%,2/2,2.41,15.6%,54.0%,55.9%,3.2%,2.17,18.4%,81.8%,70.4%,6.1%,2.83,10.7%
2025 Riyadh Finals RR,W vs Swiatek,64.0%,52.1%,6.3%,3/4,2.75,8.7%,59.7%,46.5%,6.9%,2.59,12.8%,80.0%,60.7%,5.7%,3.08,0.0%
2025 Riyadh Finals RR,W vs Keys,45.9%,61.8%,4.1%,2/1,2.60,14.6%,55.0%,63.6%,2.5%,2.61,18.5%,54.5%,58.3%,9.1%,2.59,9.5%
2025 Riyadh Finals RR,L vs Rybakina,40.0%,55.6%,13.3%,3/3,3.01,3.4%,29.0%,44.4%,12.9%,2.99,4.5%,69.2%,66.7%,15.4%,3.07,0.0%
2025 Beijing F,W vs Noskova,72.0%,57.4%,4.0%,2/1,2.76,13.2%,76.6%,52.8%,2.1%,2.55,16.7%,81.8%,66.7%,9.1%,3.20,5.9%
2025 Beijing SF,W vs Gauff,74.4%,68.8%,2.3%,0/1,2.41,14.8%,84.6%,72.7%,0.0%,2.22,25.0%,83.3%,60.0%,8.3%,2.68,0.0%
2025 Beijing QF,W vs Paolini,74.3%,59.5%,3.5%,2/2,2.45,8.3%,73.2%,61.7%,3.7%,2.58,11.5%,80.0%,54.2%,3.3%,2.23,2.9%
2025 Beijing R16,W vs Muchova,67.1%,58.5%,5.1%,0/4,2.11,17.7%,65.3%,56.3%,4.1%,2.05,22.7%,72.4%,61.9%,6.9%,2.23,5.6%
2025 Beijing R32,W vs Zhang,64.7%,65.9%,2.9%,1/1,2.61,0.0%,64.1%,56.0%,2.6%,2.60,0.0%,70.4%,78.9%,3.7%,2.62,0.0%
2025 Beijing R64,W vs Boulter,51.9%,64.3%,7.4%,2/2,2.52,16.2%,64.7%,68.2%,8.8%,2.46,28.6%,46.2%,50.0%,7.7%,2.62,0.0%
2025 US Open F,L vs Sabalenka,66.7%,54.3%,5.8%,2/2,2.15,22.0%,71.1%,56.3%,6.7%,2.24,34.6%,63.6%,50.0%,4.5%,2.00,0.0%
2025 US Open SF,W vs Osaka,65.8%,66.7%,7.9%,4/5,2.60,4.6%,57.5%,57.1%,0.0%,2.43,7.3%,82.5%,78.8%,22.5%,2.92,0.0%
2025 US Open QF,W vs Swiatek,63.3%,68.4%,6.7%,1/3,2.59,4.9%,53.3%,56.3%,0.0%,2.38,8.3%,81.5%,77.3%,14.8%,2.90,0.0%
Last 52 Weeks (43 matches),,64.7%,59.3%,5.6%,44.2%,2.46,12.4%,65.8%,55.4%,4.5%,2.41,16.5%,73.5%,66.2%,8.6%,2.56,5.0%
Career (111 matches),,65.5%,57.9%,6.3%,47.5%,2.45,10.7%,66.4%,54.4%,5.4%,2.42,14.0%,76.0%,63.9%,9.1%,2.51,4.6%
