Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R128,L vs Zheng,89.6,94.6,6.3,98.4,94.6,106,83,83.6,7.8,84.0,82.3,101,65
2022 US Open R128,L vs Putintseva,93.4,95.2,8.8,99.9,95.7,109,68,88.9,6.8,91.8,89.0,99,76
2022 Wimbledon QF,L vs Halep,99.4,101.1,4.6,102.2,98.4,110,93,94.5,4.3,100.0,94.5,102,86
2022 Wimbledon R16,W vs Tan,98.3,100.5,4.0,102.4,98.0,108,91,92.5,3.6,97.0,90.5,98,86
2022 Wimbledon R32,W vs Gauff,95.9,98.5,5.7,99.8,96.8,110,85,88.9,6.7,90.5,85.6,100,74
2022 Wimbledon R64,W vs Davis,96.6,99.7,5.6,100.5,96.3,110,79,90.5,6.1,94.0,92.8,100,76
2021 US Open R64,L vs Pliskova,96.4,99.6,4.9,101.5,96.9,107,86,87.1,7.0,93.1,82.5,99,73
2021 US Open R128,W vs Diyas,95.6,100.8,3.8,102.7,97.4,107,91,87.4,5.9,95.0,90.8,99,75
2019 Wimbledon R64,L vs Linette,96.2,98.3,4.7,100.5,96.9,107,83,89.4,4.8,89.0,93.5,103,80
2019 Roland Garros SF,L vs Barty,88.8,92.0,7.0,,,105,74,82.1,6.8,,,101,68
2019 Roland Garros QF,W vs Halep,90.6,93.2,4.8,,,103,81,83.6,6.9,,,96,71
2019 Roland Garros R16,W vs Bolsova,90.8,94.4,4.9,,,103,84,83.9,5.1,,,93,75
2019 Roland Garros R64,W vs Sabalenka,93.2,95.0,5.5,,,106,81,83.9,8.1,,,91,64
2017 Roland Garros R128,L vs Nara,91.9,98.0,5.9,,,106,83,80.9,6.0,,,95,72
Career (14 matches),,93.8,97.2,5.5,101.1,96.9,110,68,86.1,6.3,91.8,89.1,103,64
