Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2023 Roland Garros R64,L vs Tsurenko,89.5%,55.9%,13.2%,2/3,2.58,5.9%,89.7%,53.8%,13.8%,2.56,4.0%,100.0%,62.5%,12.5%,2.64,11.1%
2023 Roland Garros R128,W vs Zhu,85.7%,64.8%,6.3%,2/2,2.64,2.4%,87.2%,65.9%,2.1%,2.70,3.6%,100.0%,61.5%,23.1%,2.52,0.0%
2023 Strasbourg R32,W vs Iliev,88.7%,61.7%,3.8%,1/1,2.56,2.0%,90.0%,51.9%,3.3%,2.56,3.2%,95.2%,75.0%,4.8%,2.55,0.0%
2023 Dubai R32,L vs Sabalenka,58.5%,37.5%,9.8%,1/3,2.39,8.3%,46.2%,25.0%,11.5%,2.48,11.1%,92.3%,50.0%,7.7%,2.12,0.0%
2023 Hobart F,W vs Cocciaretto,74.3%,52.7%,4.1%,2/1,2.78,2.2%,82.9%,64.7%,4.9%,2.62,0.0%,75.0%,33.3%,3.6%,2.92,4.2%
2023 Hobart SF,W vs Blinkova,71.8%,55.4%,2.6%,0/2,3.02,9.1%,76.2%,56.3%,0.0%,3.18,20.0%,85.7%,54.2%,7.1%,2.89,0.0%
2022 US Open R32,L vs Swiatek,65.8%,47.9%,5.5%,2/2,2.13,1.9%,63.6%,39.3%,0.0%,2.12,3.7%,76.9%,60.0%,15.4%,2.14,0.0%
2021 US Open R64,L vs Andreescu,69.6%,62.5%,5.8%,2/2,2.50,4.3%,68.3%,60.7%,2.4%,2.23,7.4%,80.0%,65.0%,12.0%,2.88,0.0%
2021 Monterrey R16,L vs Golubic,76.7%,39.4%,2.3%,0/1,2.38,33.3%,79.4%,37.0%,0.0%,2.41,52.9%,75.0%,50.0%,12.5%,2.36,12.5%
2020 Monterrey R16,L vs Rus,78.4%,50.0%,9.5%,2/5,2.46,1.6%,80.4%,53.3%,12.5%,2.44,2.1%,76.5%,38.5%,0.0%,2.50,0.0%
2020 Monterrey R32,W vs Podoroska,85.4%,61.0%,6.3%,2/1,2.61,23.5%,93.5%,65.5%,3.2%,2.59,40.0%,85.7%,50.0%,14.3%,2.64,0.0%
2020 Australian Open R64,L vs Svitolina,72.9%,47.1%,5.7%,1/3,2.54,1.6%,66.0%,39.4%,2.0%,2.47,2.2%,94.7%,61.1%,15.8%,2.74,0.0%
2020 Australian Open R128,W vs Fernandez,90.0%,53.7%,3.3%,0/2,2.46,4.2%,93.5%,51.2%,2.2%,2.49,6.1%,100.0%,63.6%,9.1%,2.39,0.0%
2020 Auckland R16,L vs Wozniacki,83.7%,51.7%,1.9%,2/0,2.48,5.5%,79.4%,55.6%,1.5%,2.51,7.4%,94.3%,45.5%,2.9%,2.38,0.0%
2019 Beijing R64,L vs Wozniacki,56.8%,52.0%,4.5%,1/1,2.82,4.2%,56.7%,52.9%,6.7%,2.94,6.3%,66.7%,50.0%,0.0%,2.58,0.0%
2019 US Open R64,L vs Barty,69.1%,44.7%,10.3%,7/0,2.51,8.3%,64.1%,40.0%,7.7%,2.51,10.5%,81.5%,50.0%,14.8%,2.50,3.7%
2019 Washington R16,W vs Kenin,71.9%,62.1%,10.7%,8/5,2.43,1.5%,76.3%,60.3%,9.2%,2.36,2.8%,74.4%,65.5%,15.4%,2.51,0.0%
2019 Wimbledon R32,L vs Suarez Navarro,82.5%,51.1%,7.0%,2/2,2.15,4.7%,82.1%,53.1%,2.6%,2.11,7.7%,88.2%,46.7%,17.6%,2.22,0.0%
2019 Wimbledon R64,W vs Kerber,81.2%,65.9%,0.0%,0/0,2.45,0.0%,80.0%,66.1%,0.0%,2.36,0.0%,89.7%,65.4%,0.0%,2.78,0.0%
2019 ITF Bonita Springs F,W vs Li,77.2%,60.7%,1.3%,1/0,2.36,7.0%,80.0%,61.1%,2.2%,2.51,7.3%,86.2%,60.0%,0.0%,1.96,6.3%
Career (41 matches),,73.5%,53.4%,5.6%,58.4%,2.52,5.6%,75.0%,51.1%,3.4%,2.49,8.3%,82.3%,57.5%,10.8%,2.56,1.0%
