Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2023 Roland Garros R64,L vs Tsurenko,5.7,5.1,6.3,45.7%,50.0%,50.0%,31.6%,60.5%,22.8%,0.5,0.4,-2.5,-4.2
2023 Roland Garros R128,W vs Zhu,5.1,4.3,5.7,49.1%,67.9%,42.9%,73.7%,40.0%,19.0%,9.0,9.9,9.5,7.7
2023 Strasbourg R32,W vs Iliev,4.5,4.4,4.5,58.5%,60.5%,46.2%,63.6%,56.4%,20.8%,3.0,2.6,13.5,17.8
2023 Dubai R32,L vs Sabalenka,3.9,4.7,3.0,30.4%,38.1%,40.0%,20.0%,53.2%,10.3%,-7.5,-13.2,-1.0,-2.0
2023 Hobart F,W vs Cocciaretto,3.5,3.1,3.9,56.7%,47.2%,57.1%,71.4%,42.5%,10.3%,0.5,0.6,12.0,10.6
2023 Hobart SF,W vs Blinkova,3.4,3.4,3.4,57.3%,68.0%,61.1%,33.3%,71.2%,13.7%,22.5,19.6,13.5,30.7
2022 US Open R32,L vs Swiatek,4.0,4.5,3.4,43.8%,50.0%,50.0%,30.0%,49.6%,5.5%,1.0,0.8,-13.5,-11.3
2021 US Open R64,L vs Andreescu,4.1,4.6,3.6,45.9%,48.5%,50.0%,50.0%,46.8%,10.3%,1.0,1.1,5.5,5.4
2021 Monterrey R16,L vs Golubic,4.6,4.2,5.0,38.8%,31.8%,41.7%,45.5%,44.4%,16.0%,-1.0,-1.3,-6.5,-7.8
2020 Monterrey R16,L vs Rus,5.4,5.9,4.9,35.5%,53.8%,52.2%,48.0%,60.2%,9.1%,3.5,1.7,-2.0,-1.6
2020 Monterrey R32,W vs Podoroska,3.8,3.4,4.3,55.0%,78.9%,75.0%,37.5%,50.9%,26.9%,-2.5,-3.2,10.0,17.5
2020 Australian Open R64,L vs Svitolina,4.9,5.2,4.4,43.1%,46.2%,56.3%,36.8%,40.1%,18.2%,-2.0,-1.8,14.0,9.5
2020 Australian Open R128,W vs Fernandez,4.4,4.1,4.7,64.2%,51.2%,42.9%,66.7%,41.2%,14.2%,6.5,7.5,8.0,7.0
2020 Auckland R16,L vs Wozniacki,5.7,6.0,5.5,41.0%,50.0%,56.3%,45.5%,48.7%,25.4%,-0.5,-0.2,7.5,4.2
2019 Beijing R64,L vs Wozniacki,4.6,5.4,3.7,33.3%,33.3%,50.0%,58.3%,46.4%,22.1%,-3.0,-3.5,7.5,9.6
2019 US Open R64,L vs Barty,5.0,5.3,4.5,44.8%,46.3%,42.9%,40.9%,54.1%,24.8%,0.0,0.0,2.0,1.7
2019 Washington R16,W vs Kenin,3.5,3.5,3.5,48.2%,51.9%,47.4%,69.2%,50.8%,18.6%,5.5,4.0,-4.0,-3.3
2019 Wimbledon R32,L vs Suarez Navarro,4.1,4.0,4.2,33.9%,48.4%,61.5%,50.0%,50.3%,34.0%,4.0,5.3,-2.0,-3.3
2019 Wimbledon R64,W vs Kerber,5.3,5.8,4.9,47.1%,60.3%,57.9%,51.9%,42.9%,27.0%,12.5,9.3,11.0,6.4
2019 ITF Bonita Springs F,W vs Li,3.8,4.2,3.4,61.9%,47.5%,42.1%,50.0%,59.4%,18.3%,13.5,10.7,2.0,2.6
Career (41 matches),,4.3,4.4,4.2,45.1%,50.7%,53.6%,50.7%,51.5%,16.1%,2.8,2.3,3.3,3.3
