Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
9,Varvara Lepchenko [USA],5,4,55.6%,2,2,0,100.0%,2012,2024,9,1.02,1.6%,4.4%,64.6%,56.3%,49.1%,53.8%,46.9%,47.3%,54.5%
7,Sloane Stephens [USA],4,3,57.1%,1,1,0,100.0%,2010,2023,6,0.97,1.0%,3.5%,60.7%,57.4%,48.0%,53.7%,45.1%,61.6%,52.7%
7,Madison Keys [USA],2,5,28.6%,2,2,0,100.0%,2010,2022,4,0.62,0.4%,4.0%,61.2%,54.0%,38.6%,48.0%,32.3%,47.1%,38.5%
6,Jessica Pegula [USA],2,4,33.3%,3,1,2,33.3%,2012,2023,5,0.90,2.3%,6.0%,60.1%,62.9%,42.9%,54.9%,40.7%,51.2%,39.0%
6,Camila Giorgi [ITA],4,2,66.7%,1,0,1,0.0%,2012,2022,3,1.09,6.9%,4.7%,54.3%,61.1%,50.0%,56.0%,48.0%,60.0%,40.0%
6,Christina Mchale [USA],1,5,16.7%,1,0,1,0.0%,2012,2020,4,0.83,0.8%,5.0%,66.0%,58.5%,37.8%,51.5%,40.1%,36.7%,43.5%
6,Nicole Gibbs [USA],6,0,100.0%,3,3,0,100.0%,2010,2018,1,0.98,1.1%,7.8%,58.9%,58.5%,48.6%,54.4%,44.8%,60.0%,46.2%
6,Shelby Rogers [USA],5,1,83.3%,1,0,1,0.0%,2012,2016,2,1.08,2.1%,4.2%,57.1%,66.1%,45.1%,57.1%,46.2%,66.7%,52.4%
5,Shuai Zhang [CHN],1,4,20.0%,0,0,0,-,2014,2025,5,0.78,1.4%,4.2%,62.6%,55.3%,44.9%,51.4%,38.1%,52.6%,31.0%
5,Louisa Chirico [USA],2,3,40.0%,2,1,1,50.0%,2016,2024,4,0.89,0.9%,4.7%,58.0%,54.1%,51.5%,53.0%,41.8%,44.4%,34.2%
5,Viktoriya Tomova [BUL],3,2,60.0%,1,0,1,0.0%,2021,2024,5,1.02,1.5%,3.3%,58.6%,65.9%,42.0%,56.0%,44.7%,46.3%,42.6%
5,Sachia Vickery [USA],3,2,60.0%,0,0,0,-,2014,2024,3,0.91,0.7%,3.4%,61.6%,60.0%,37.5%,51.4%,44.1%,35.0%,34.6%
5,Danka Kovinic [MNE],3,2,60.0%,0,0,0,-,2021,2023,5,1.11,1.5%,5.2%,59.2%,64.8%,48.9%,58.3%,46.3%,50.0%,40.0%
5,Anastasia Pavlyuchenkova [RUS],2,3,40.0%,1,1,0,100.0%,2013,2023,5,0.93,2.5%,6.0%,55.6%,63.2%,43.6%,54.5%,42.3%,43.9%,31.3%
5,Jelena Ostapenko [LAT],2,3,40.0%,0,0,0,-,2017,2022,5,0.91,4.5%,6.7%,56.2%,65.3%,34.3%,51.8%,43.7%,59.3%,51.5%
