Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 Roland Garros R64,L vs Tsurenko,0.0%,-,6.3%,40.0%,3.1%,4.7%,0.0%,8.3%,20.0%,1.5%,33.3%,-33,-40
2023 Roland Garros R128,W vs Zhu,0.0%,-,3.5%,75.0%,10.3%,23.5%,0.0%,11.8%,41.2%,1.6%,50.0%,-48,-45
2023 Strasbourg R32,W vs Iliev,0.0%,-,10.4%,91.7%,10.0%,11.4%,0.0%,19.0%,35.7%,0.0%,-,47,29
2023 Dubai R32,L vs Sabalenka,0.0%,-,7.3%,33.3%,6.0%,4.0%,0.0%,5.1%,11.8%,0.0%,-,-86,-97
2023 Hobart F,W vs Cocciaretto,0.0%,-,0.7%,100.0%,14.9%,22.2%,0.0%,20.3%,50.0%,0.5%,0.0%,85,106
2023 Hobart SF,W vs Blinkova,0.0%,-,3.1%,100.0%,21.5%,34.5%,0.0%,37.5%,54.5%,0.0%,-,57,64
2022 US Open R32,L vs Swiatek,0.0%,-,4.6%,71.4%,5.0%,10.4%,0.0%,5.6%,5.6%,0.0%,-,-27,4
2021 US Open R64,L vs Andreescu,0.0%,-,10.1%,53.8%,6.3%,8.3%,0.0%,13.7%,25.0%,0.5%,0.0%,-3,-11
2021 Monterrey R16,L vs Golubic,0.0%,-,7.4%,57.1%,7.8%,15.0%,0.0%,6.5%,16.7%,1.7%,0.0%,-6,1
2020 Monterrey R16,L vs Rus,0.0%,-,10.7%,43.8%,9.2%,15.6%,17.6%,5.7%,4.3%,0.6%,0.0%,-21,-28
2020 Monterrey R32,W vs Podoroska,0.0%,-,5.1%,100.0%,5.6%,9.1%,0.0%,21.4%,40.0%,0.0%,-,25,48
2020 Australian Open R64,L vs Svitolina,0.0%,-,4.8%,57.1%,10.5%,16.7%,0.0%,17.6%,38.5%,1.0%,0.0%,-8,-37
2020 Australian Open R128,W vs Fernandez,0.0%,-,7.6%,100.0%,15.6%,26.3%,0.0%,17.1%,35.7%,0.4%,0.0%,65,46
2020 Auckland R16,L vs Wozniacki,0.0%,-,13.5%,64.0%,8.4%,12.5%,50.0%,14.9%,18.2%,2.1%,20.0%,12,-15
2019 Beijing R64,L vs Wozniacki,0.0%,-,8.9%,55.6%,6.7%,6.5%,0.0%,23.1%,53.8%,0.5%,0.0%,22,5
2019 US Open R64,L vs Barty,0.0%,-,9.4%,68.8%,6.4%,12.3%,0.0%,7.1%,20.0%,0.6%,0.0%,-46,-47
2019 Washington R16,W vs Kenin,0.0%,-,5.8%,61.5%,13.3%,18.4%,0.0%,11.5%,25.0%,0.9%,33.3%,-13,32
2019 Wimbledon R32,L vs Suarez Navarro,0.0%,-,5.8%,50.0%,15.1%,23.8%,0.0%,14.0%,33.3%,2.6%,40.0%,82,37
2019 Wimbledon R64,W vs Kerber,0.0%,-,9.2%,75.0%,14.8%,20.0%,18.2%,14.3%,25.0%,3.1%,23.1%,50,16
2019 ITF Bonita Springs F,W vs Li,0.0%,-,6.7%,70.0%,8.4%,9.1%,0.0%,14.3%,13.3%,0.9%,50.0%,23,3
Career (41 matches),,0.0%,0.0%,7.9%,69.1%,10.1%,15.0%,13.5%,12.3%,27.9%,0.8%,23.5%,14,6
