Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 Roland Garros R64,L vs Tsurenko,19.0%,19.0%,20.6%,13.8%,13.8%,20.0%,14.3%,46.7%,16.7%,30.8%,30.8%,22.2%,14.3%,33.3%,0.0%,-104
2023 Roland Garros R128,W vs Zhu,15.7%,23.5%,46.3%,17.6%,23.5%,53.6%,57.1%,20.0%,0.0%,13.3%,26.7%,30.8%,22.2%,33.3%,0.0%,17
2023 Strasbourg R32,W vs Iliev,12.9%,22.6%,54.9%,11.4%,20.0%,51.6%,66.7%,65.0%,33.3%,16.7%,29.2%,60.0%,15.4%,54.5%,-,30
2023 Dubai R32,L vs Sabalenka,9.8%,14.6%,33.3%,10.0%,13.3%,40.7%,37.5%,28.6%,0.0%,10.0%,20.0%,11.1%,25.0%,16.7%,0.0%,-14
2023 Hobart F,W vs Cocciaretto,32.9%,45.2%,51.1%,50.0%,61.9%,52.4%,36.8%,43.5%,33.3%,11.1%,25.9%,50.0%,8.3%,53.3%,66.7%,-7
2023 Hobart SF,W vs Blinkova,30.0%,46.0%,66.7%,37.5%,58.3%,73.3%,63.6%,46.2%,-,25.0%,37.5%,61.1%,25.0%,58.3%,100.0%,-11
2022 US Open R32,L vs Swiatek,25.0%,30.0%,42.6%,34.1%,39.0%,40.7%,40.0%,23.8%,28.6%,18.2%,24.2%,44.4%,18.8%,29.4%,25.0%,58
2021 US Open R64,L vs Andreescu,18.3%,23.3%,37.0%,15.6%,21.9%,44.4%,33.3%,21.4%,0.0%,24.0%,28.0%,26.3%,41.7%,30.8%,66.7%,25
2021 Monterrey R16,L vs Golubic,17.6%,21.6%,34.3%,25.0%,33.3%,38.9%,18.2%,30.8%,50.0%,15.0%,15.0%,29.4%,45.5%,33.3%,50.0%,31
2020 Monterrey R16,L vs Rus,17.1%,21.1%,34.9%,17.2%,22.4%,35.4%,37.0%,25.8%,41.7%,16.7%,16.7%,33.3%,63.6%,14.3%,0.0%,-104
2020 Monterrey R32,W vs Podoroska,27.5%,39.2%,51.4%,32.3%,48.4%,57.1%,42.9%,52.9%,50.0%,22.2%,27.8%,42.9%,22.2%,44.4%,-,17
2020 Australian Open R64,L vs Svitolina,15.8%,28.9%,44.4%,13.2%,30.2%,50.0%,40.7%,46.2%,33.3%,22.7%,27.3%,29.4%,37.5%,35.7%,0.0%,-51
2020 Australian Open R128,W vs Fernandez,16.9%,30.5%,54.2%,13.2%,28.9%,54.5%,47.1%,38.1%,100.0%,25.0%,35.0%,53.3%,90.0%,20.0%,0.0%,-46
2020 Auckland R16,L vs Wozniacki,6.2%,17.3%,47.9%,6.9%,22.4%,51.9%,37.5%,46.2%,33.3%,5.0%,5.0%,36.8%,83.3%,21.4%,50.0%,-69
2019 Beijing R64,L vs Wozniacki,8.8%,21.1%,39.6%,13.5%,29.7%,37.5%,58.8%,55.0%,50.0%,0.0%,6.3%,43.8%,18.2%,20.0%,0.0%,-119
2019 US Open R64,L vs Barty,12.6%,22.3%,47.6%,13.6%,24.2%,47.4%,58.1%,48.6%,57.1%,12.9%,22.6%,48.1%,40.0%,62.5%,57.1%,6
2019 Washington R16,W vs Kenin,26.9%,32.7%,36.8%,38.3%,48.3%,45.9%,55.2%,41.9%,33.3%,13.9%,13.9%,25.8%,46.7%,42.9%,60.0%,12
2019 Wimbledon R32,L vs Suarez Navarro,4.3%,17.0%,39.5%,3.7%,22.2%,46.2%,50.0%,46.7%,33.3%,5.6%,11.1%,29.4%,36.4%,14.3%,100.0%,-61
2019 Wimbledon R64,W vs Kerber,8.2%,17.8%,47.7%,8.9%,19.6%,51.0%,45.8%,43.8%,40.0%,6.7%,13.3%,35.7%,45.5%,0.0%,0.0%,-51
2019 ITF Bonita Springs F,W vs Li,15.7%,25.7%,50.9%,18.0%,26.0%,53.7%,79.2%,30.8%,66.7%,11.1%,27.8%,43.8%,55.6%,44.4%,0.0%,-4
Career (41 matches),,16.8%,24.9%,45.5%,19.8%,29.6%,48.9%,42.0%,35.9%,34.6%,14.4%,20.7%,39.6%,37.3%,28.9%,35.0%,24
