Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2019,,,34,1834,34,1799,,,32,1714,,,,
2018,71,715,18,1927,16,1898,11,1895,13,1834,,,,
2017,19,2095,13,1989,13,1933,10,1963,9,1886,547,90,,
2016,10,3060,8,2046,7,1990,8,2002,6,1915,207,360,,
2015,6,4620,7,2069,7,2016,8,2013,7,1909,199,360,,
2014,7,4600,10,2043,7,2001,9,1981,8,1900,193,390,,
2013,7,4180,7,2076,7,2021,8,2014,7,1919,174,405,,
2012,6,4680,7,2109,7,2048,7,2046,8,1917,102,710,45,1709
2011,7,3700,8,2058,8,2008,9,1958,5,1947,102,780,45,1717
2010,6,3955,16,1942,22,1858,16,1907,6,1906,140,565,80,1613
2009,20,1655,23,1915,20,1859,23,1857,10,1841,123,535,65,1643
2008,20,1215,13,1969,11,1916,18,1890,7,1873,124,475,69,1647
2007,14,1685,10,1968,14,1889,9,1907,6,1907,164,345,87,1569
2006,13,1705,10,1995,10,1915,11,1911,8,1860,75,705,86,1566
2005,24,1200,11,1950,24,1828,16,1877,40,1701,68,831,80,1576
2004,45,863,28,1849,32,1790,20,1853,79,1590,418,95,,
2003,113,359,126,1635,115,1590,97,1627,,,216,220,,
2002,398,61,,,,,,,,,1049,13,,
2001,1383,1,,,,,,,,,1445,2,,
