Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Indian Wells R128,L vs Lopez,20.7%,40.2%,63.9%,34.4%,27.8%,53.7%,71.8%,48.5%,41.7%,33.3%,-,8.3%,16.7%,50.0%,-39
2019 Australian Open R32,W vs Schwartzman,28.7%,41.3%,53.2%,35.2%,49.4%,67.5%,64.1%,61.6%,51.5%,47.7%,20.0%,5.2%,12.1%,45.5%,-79
2019 Australian Open R128,W vs Edmund,37.3%,49.3%,65.2%,46.7%,49.0%,65.3%,76.0%,63.3%,45.5%,37.0%,100.0%,16.0%,20.0%,52.4%,-21
2019 Doha F,L vs Bautista Agut,25.6%,41.5%,58.6%,33.2%,33.3%,52.9%,64.7%,45.5%,53.6%,60.9%,33.3%,14.3%,25.0%,50.0%,24
2019 Doha SF,W vs Cecchinato,50.0%,57.8%,53.1%,53.1%,58.5%,68.3%,41.2%,63.4%,40.0%,23.8%,-,34.8%,39.1%,66.7%,-79
2018 Monte Carlo R64,L vs Nishikori,12.3%,28.8%,50.0%,18.1%,14.3%,31.4%,40.0%,26.3%,31.3%,47.4%,75.0%,12.5%,31.3%,60.7%,-2
2018 Australian Open QF,L vs Federer,21.3%,31.9%,52.1%,27.4%,32.1%,47.2%,55.6%,43.0%,30.8%,48.1%,50.0%,7.5%,12.5%,48.6%,-42
2017 Wimbledon SF,L vs Federer,29.7%,41.4%,48.3%,36.7%,38.5%,53.8%,47.9%,50.0%,39.5%,47.5%,40.0%,16.3%,22.4%,48.8%,-79
2017 Wimbledon QF,W vs Djokovic,28.3%,43.5%,68.8%,39.1%,42.9%,57.1%,81.3%,60.7%,70.0%,27.8%,-,5.9%,23.5%,56.3%,-57
2017 Queens Club R16,W vs Shapovalov,36.9%,60.2%,64.5%,46.7%,42.9%,70.0%,67.5%,57.3%,50.0%,32.5%,0.0%,26.7%,43.3%,59.1%,16
2017 Lyon F,L vs Tsonga,29.6%,46.9%,51.9%,38.6%,35.4%,58.3%,58.1%,50.6%,43.5%,48.0%,0.0%,23.3%,33.3%,43.5%,59
2017 Madrid R16,L vs Zverev,12.5%,30.4%,54.2%,25.7%,17.6%,47.1%,67.9%,39.4%,52.9%,35.3%,66.7%,4.8%,4.8%,35.0%,-68
2017 Miami QF,L vs Federer,29.5%,46.3%,52.4%,36.1%,47.1%,64.7%,59.3%,59.4%,40.0%,30.8%,0.0%,10.0%,27.5%,47.2%,-18
2017 Australian Open R32,L vs Federer,40.7%,48.1%,46.5%,46.8%,60.0%,70.0%,70.0%,69.8%,37.5%,46.2%,-,14.8%,18.5%,26.1%,29
2017 Doha SF,L vs Murray,12.7%,22.2%,50.0%,20.3%,14.3%,31.4%,60.0%,28.0%,38.9%,47.1%,100.0%,11.1%,11.1%,37.5%,-25
2016 Shenzhen F,W vs Gasquet,36.9%,49.5%,54.2%,41.7%,49.2%,66.1%,53.3%,57.6%,46.2%,45.5%,-,23.7%,31.6%,55.2%,107
2016 Wimbledon SF,L vs Murray,21.9%,35.6%,46.4%,34.0%,28.3%,45.7%,57.6%,47.4%,36.4%,54.2%,66.7%,11.5%,19.2%,30.4%,-23
2016 Madrid QF,L vs Murray,17.9%,30.4%,46.7%,26.6%,23.3%,40.0%,56.5%,39.7%,57.1%,50.0%,100.0%,12.0%,20.0%,36.4%,-21
2016 Miami R32,W vs Johnson,30.3%,42.9%,61.1%,37.5%,46.7%,63.3%,68.8%,61.0%,50.0%,32.1%,25.0%,16.7%,27.1%,55.0%,37
2016 Marseille SF,L vs Kyrgios,25.8%,41.9%,37.0%,33.4%,36.6%,53.7%,46.2%,48.0%,31.8%,42.1%,100.0%,4.8%,19.0%,25.0%,-79
Career (113 matches),,29.4%,41.0%,51.1%,35.9%,41.2%,56.2%,57.3%,52.4%,50.4%,39.3%,38.2%,14.7%,22.3%,44.8%,23
