Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 US Open R128,L vs Brooksby,71% (12/17),50% (3/6),1/1,0/0,57% (8/14),0/3,0/1,- (0/0),- (0/0)
2019 Wimbledon R128,L vs Fritz,59% (10/17),14% (1/7),0/0,0/0,50% (4/8),2/5,1/2,- (0/0),- (0/0)
2019 Indian Wells R128,L vs Lopez,60% (12/20),0% (0/4),0/0,0/0,- (0/0),1/3,1/2,33% (3/9),20% (2/10)
2019 Dubai R16,L vs Coric,69% (11/16),33% (2/6),1/1,0/0,75% (6/8),0/2,0/1,40% (2/5),33% (2/6)
2019 Dubai R32,W vs Ivashka,56% (14/25),22% (2/9),2/4,1/3,71% (5/7),1/2,0/0,83% (5/6),40% (2/5)
2019 Rotterdam R16,L vs Shapovalov,46% (6/13),100% (1/1),0/0,0/0,56% (5/9),1/3,1/2,- (0/0),- (0/0)
2019 Rotterdam R32,W vs Simon,35% (7/20),42% (5/12),2/4,1/1,43% (3/7),1/1,0/0,78% (7/9),33% (3/9)
2019 Montpellier SF,L vs Herbert,70% (7/10),0% (0/3),0/0,0/0,57% (4/7),0/2,0/1,- (0/0),- (0/0)
2019 Montpellier QF,W vs Krajinovic,59% (16/27),75% (3/4),2/2,1/1,50% (2/4),3/4,2/2,64% (7/11),45% (5/11)
2019 Montpellier R16,W vs Paire,64% (7/11),50% (5/10),2/4,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 Montpellier R32,W vs Bachinger,46% (11/24),55% (6/11),2/5,1/4,64% (7/11),3/4,0/0,- (0/0),- (0/0)
2019 Australian Open R16,L vs Nadal,70% (7/10),0% (0/2),0/1,0/0,62% (8/13),0/3,0/1,60% (3/5),17% (1/6)
2019 Australian Open R32,W vs Schwartzman,62% (21/34),43% (3/7),3/5,1/1,88% (7/8),0/1,0/0,- (0/0),- (0/0)
2019 Australian Open R64,W vs Haase,93% (13/14),71% (5/7),3/3,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Australian Open R128,W vs Edmund,74% (14/19),71% (5/7),3/5,1/1,100% (1/1),1/1,0/0,- (0/0),- (0/0)
2019 Doha F,L vs Bautista Agut,63% (12/19),17% (1/6),1/1,0/0,75% (6/8),3/5,0/1,- (0/0),- (0/0)
2019 Doha SF,W vs Cecchinato,91% (10/11),22% (2/9),2/5,1/4,67% (2/3),3/3,0/0,86% (6/7),29% (2/7)
2019 Doha QF,W vs Herbert,75% (9/12),50% (3/6),2/6,1/3,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 Doha R16,W vs Verdasco,62% (13/21),29% (4/14),2/3,1/1,40% (2/5),1/2,0/0,- (0/0),- (0/0)
2019 Doha R32,W vs Kohlschreiber,77% (10/13),100% (3/3),2/2,1/1,50% (2/4),0/0,0/0,67% (4/6),50% (3/6)
2019 (20 matches),,62.9%,40.3%,57.7%,54.5%,62.8%,45.5%,38.5%,63.8%,33.3%
2018 (21 matches),,69.0%,42.0%,52.5%,43.5%,66.4%,38.6%,26.7%,51.7%,31.0%
2017 (50 matches),,68.3%,41.8%,52.3%,54.2%,66.5%,48.5%,43.8%,61.9%,40.5%
2016 (57 matches),,69.0%,37.7%,50.6%,53.6%,63.0%,46.0%,45.9%,66.3%,36.2%
2015 (58 matches),,68.6%,45.9%,57.9%,60.0%,64.6%,40.5%,17.4%,67.8%,43.5%
Career (475 matches),,68.7%,42.3%,55.2%,57.1%,65.5%,45.8%,39.5%,66.0%,36.8%
