Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,105,49,56,46.7%,112-122,47.9%,1103-1151,48.9%,17-19,47.2%,103,60.0%,37.7%,2.1%,7.0%,64.5%,60.8%,42.8%,54.4%,44.7%,49.6%,0.98
Clay,78,54,24,69.2%,110-69,61.5%,918-815,53.0%,17-11,60.7%,76,59.4%,45.9%,1.4%,7.2%,65.0%,60.4%,41.6%,53.9%,48.4%,51.2%,1.05
Grass,17,4,13,23.5%,12-24,33.3%,140-177,44.2%,0-1,0.0%,17,55.5%,31.7%,2.0%,7.6%,65.1%,59.0%,39.6%,52.3%,42.1%,47.2%,0.88
Grand Slams,30,10,20,33.3%,26-42,38.2%,300-345,46.5%,4-5,44.4%,30,53.8%,39.0%,1.5%,6.5%,67.4%,58.2%,38.2%,51.7%,44.7%,48.2%,0.93
Premiers,24,10,14,41.7%,21-27,43.8%,220-249,46.9%,5-3,62.5%,24,54.9%,37.7%,2.2%,7.4%,63.4%,59.0%,41.8%,52.7%,44.7%,48.7%,0.94
Internationals,82,49,33,59.8%,105-79,57.1%,914-837,52.2%,16-12,57.1%,82,62.3%,41.5%,2.0%,7.1%,64.5%,61.9%,43.1%,55.3%,46.6%,50.9%,1.04
Finals,5,3,2,60.0%,7-5,58.3%,64-60,51.6%,2-1,66.7%,5,65.6%,36.7%,2.3%,6.0%,64.7%,63.7%,46.4%,57.6%,44.3%,51.0%,1.04
Semi-finals,11,5,6,45.5%,11-12,47.8%,117-122,49.0%,2-4,33.3%,11,59.1%,39.8%,2.6%,7.8%,64.7%,61.2%,39.1%,53.4%,46.6%,49.9%,1.00
Quarter-finals,16,11,5,68.8%,22-12,64.7%,165-145,53.2%,3-0,100.0%,16,65.6%,39.5%,1.9%,5.9%,65.6%,63.4%,46.5%,57.6%,46.6%,51.8%,1.10
vs Righties,183,98,85,53.6%,212-196,52.0%,1954-1965,49.9%,31-27,53.4%,177,58.7%,40.2%,1.8%,7.1%,64.9%,60.3%,41.6%,53.7%,46.0%,49.9%,1.00
vs Lefties,12,5,7,41.7%,13-16,44.8%,137-145,48.6%,2-2,50.0%,12,60.8%,34.8%,1.3%,7.5%,65.4%,60.7%,44.2%,55.0%,42.8%,49.1%,0.95
vs Top 10,15,2,13,13.3%,7-25,21.9%,118-175,40.3%,0-3,0.0%,15,55.1%,26.8%,1.6%,7.4%,64.0%,57.3%,38.0%,50.3%,42.0%,46.1%,0.85
