Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,27,12,15,44.4%,29-31,48.3%,282-292,49.1%,2-4,33.3%,26,62.3%,35.8%,2.6%,8.6%,62.2%,63.4%,42.4%,55.4%,43.9%,49.9%,0.99
Clay,15,10,5,66.7%,22-14,61.1%,185-148,55.6%,2-3,40.0%,15,61.7%,49.7%,2.2%,8.5%,63.9%,63.0%,40.3%,54.8%,49.7%,52.3%,1.10
Grass,2,0,2,0.0%,1-4,20.0%,20-29,40.8%,0-0,-,2,62.5%,20.0%,4.3%,6.2%,65.8%,62.3%,41.8%,55.3%,39.5%,47.0%,0.88
Grand Slams,4,0,4,0.0%,3-8,27.3%,43-61,41.3%,1-0,100.0%,4,56.9%,25.0%,3.2%,6.4%,66.7%,62.7%,36.0%,53.8%,37.8%,46.1%,0.82
Premiers,4,2,2,50.0%,4-3,57.1%,35-35,50.0%,0-0,-,4,52.8%,47.1%,4.9%,9.3%,60.6%,59.9%,39.3%,51.8%,49.6%,50.7%,1.03
Internationals,15,9,6,60.0%,21-14,60.0%,181-143,55.9%,2-2,50.0%,15,66.7%,43.7%,3.0%,8.4%,61.5%,64.9%,44.0%,56.8%,47.8%,52.4%,1.11
Finals,1,1,0,100.0%,2-0,100.0%,12-6,66.7%,0-0,-,1,77.8%,55.6%,5.1%,10.2%,59.3%,71.4%,54.2%,64.4%,50.8%,57.4%,1.43
Semi-finals,2,1,1,50.0%,3-2,60.0%,28-27,50.9%,1-0,100.0%,2,55.6%,44.4%,1.4%,9.6%,63.6%,60.9%,40.8%,53.6%,48.7%,51.3%,1.05
Quarter-finals,2,2,0,100.0%,4-0,100.0%,24-8,75.0%,0-0,-,2,87.5%,62.5%,6.1%,6.1%,70.4%,71.0%,58.6%,67.3%,53.7%,59.8%,1.65
vs Righties,39,20,19,51.3%,45-43,51.1%,424-417,50.4%,4-6,40.0%,38,61.6%,39.1%,2.7%,8.6%,63.1%,62.8%,41.7%,55.0%,45.6%,50.4%,1.01
vs Lefties,3,1,2,33.3%,4-4,50.0%,35-38,47.9%,0-0,-,3,59.5%,36.1%,1.7%,9.3%,64.8%,64.1%,34.9%,53.8%,43.4%,48.8%,0.94
vs Top 10,1,0,1,0.0%,0-1,0.0%,0-6,0.0%,0-0,-,1,25.0%,0.0%,0.0%,25.0%,37.5%,44.4%,20.0%,29.2%,38.5%,34.0%,0.54
