Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,15,7,8,46.7%,17-19,47.2%,177-173,50.6%,2-5,28.6%,15,64.0%,38.2%,2.1%,7.7%,64.1%,63.1%,43.6%,56.1%,44.6%,50.6%,1.02,R16 (3x)
2025,39,20,19,51.3%,46-43,51.7%,430-416,50.8%,2-5,28.6%,38,62.1%,39.0%,2.8%,8.3%,63.0%,62.7%,42.3%,55.1%,45.7%,50.4%,1.02,W (Bogota)
2024,37,20,17,54.1%,46-38,54.8%,404-398,50.4%,9-4,69.2%,35,55.4%,43.9%,1.5%,6.5%,66.5%,58.3%,41.2%,52.5%,46.9%,49.8%,0.99,W (Bogota)
2023,34,19,15,55.9%,40-34,54.1%,355-348,50.5%,6-4,60.0%,34,60.3%,39.8%,1.0%,7.5%,64.6%,60.3%,42.6%,54.0%,45.7%,49.9%,0.99,SF (Lyon)
2022,30,14,16,46.7%,31-34,47.7%,312-337,48.1%,10-7,58.8%,30,57.8%,37.0%,1.5%,5.4%,69.4%,59.1%,42.3%,54.0%,44.8%,49.3%,0.97,F (Monterrey)
2021,30,18,12,60.0%,35-31,53.0%,316-309,50.6%,3-4,42.9%,29,57.6%,44.8%,2.0%,7.3%,63.2%,61.2%,38.9%,53.0%,48.2%,50.6%,1.03,W (Bogota)
2020,3,1,2,33.3%,2-4,33.3%,25-34,42.4%,1-0,100.0%,3,51.7%,31.0%,2.0%,7.0%,63.5%,53.5%,41.1%,49.0%,42.5%,46.0%,0.83,
2019,7,6,1,85.7%,13-5,72.2%,101-76,57.1%,0-2,0.0%,7,69.3%,46.0%,1.0%,8.3%,59.0%,63.6%,47.3%,56.9%,47.5%,52.4%,1.10,QF (Bogota)
2018,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,44.4%,22.2%,2.9%,5.7%,60.0%,61.9%,32.1%,50.0%,36.9%,43.7%,0.74,R32 (Bogota)
2017,4,2,2,50.0%,4-5,44.4%,37-43,46.3%,1-0,100.0%,4,55.0%,35.9%,1.1%,5.9%,59.5%,56.9%,48.6%,53.5%,44.4%,48.9%,0.95,
2016,2,2,0,100.0%,4-0,100.0%,24-13,64.9%,0-0,-,0,,,,,,,,,,,,
Career,202,109,93,54.0%,238-215,52.5%,2187-2159,50.3%,34-31,52.3%,196,59.4%,40.5%,1.8%,7.1%,64.8%,60.5%,42.1%,54.0%,46.0%,50.0%,1.00,
