Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,9,3,6,33.3%,3,2,1,66.7%,2020,2026,R64,9,0.95,2.0%,4.6%,64.4%,61.9%,44.5%,55.7%,42.0%,48.8%,46.7%
Roland Garros,6,Clay,15,8,7,53.3%,3,1,2,33.3%,2020,2025,R64,15,1.02,0.5%,6.6%,68.5%,57.2%,39.3%,51.6%,49.2%,49.3%,55.1%
Wimbledon,5,Grass,11,6,5,54.5%,0,0,0,-,2021,2025,R32,11,0.97,1.8%,6.5%,66.3%,57.8%,40.6%,52.0%,46.7%,44.4%,52.7%
US Open,5,Hard,7,2,5,28.6%,4,1,3,25.0%,2021,2025,R64,7,0.89,2.3%,5.4%,65.2%,54.9%,38.3%,49.1%,45.5%,47.1%,49.2%
Olympics,2,,4,2,2,50.0%,1,1,0,100.0%,2021,2024,R16,3,0.98,1.4%,5.7%,71.4%,54.7%,33.3%,48.6%,50.2%,51.4%,41.5%
Fed Cup,4,,13,9,4,69.2%,3,2,1,66.7%,2016,2020,,11,0.99,1.1%,7.2%,60.2%,58.8%,46.9%,54.0%,45.5%,58.9%,49.5%
Miami,3,Hard,5,2,3,40.0%,0,0,0,-,2024,2026,R64,5,0.96,1.2%,6.5%,65.6%,63.1%,40.1%,55.2%,42.9%,61.9%,62.5%
Indian Wells,5,Hard,9,4,5,44.4%,2,1,1,50.0%,2021,2026,R32,9,0.94,1.7%,8.6%,61.4%,62.4%,42.2%,54.6%,42.6%,56.2%,40.3%
Merida,2,Hard,3,1,2,33.3%,1,1,0,100.0%,2023,2026,R16,3,0.96,3.5%,9.5%,63.0%,64.3%,33.8%,53.0%,45.2%,33.3%,47.8%
Hobart,3,Hard,6,3,3,50.0%,2,0,2,0.0%,2024,2026,R16,6,1.06,1.9%,6.2%,67.2%,61.6%,40.1%,54.5%,48.1%,60.7%,51.9%
Wuhan,2,Hard,4,2,2,50.0%,0,0,0,-,2024,2025,R64,4,1.04,0.3%,4.8%,70.9%,54.1%,36.9%,49.1%,52.8%,45.2%,57.9%
Beijing,2,Hard,5,3,2,60.0%,1,0,1,0.0%,2024,2025,R32,5,1.01,2.5%,8.3%,60.8%,64.2%,41.4%,55.3%,45.0%,54.2%,45.1%
