Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,25,14,11,56.0%,9,5,4,55.6%,2003,2013,R32,19,0.93,4.5%,2.6%,63.3%,65.0%,51.3%,60.0%,37.1%,59.0%,40.7%
Roland Garros,11,Clay,25,14,11,56.0%,11,3,8,27.3%,2003,2013,R32,20,1.00,3.1%,1.9%,60.2%,66.3%,50.0%,59.8%,40.4%,58.2%,44.8%
Wimbledon,9,Grass,19,10,9,52.6%,13,9,4,69.2%,2004,2013,R64,11,0.88,6.1%,2.3%,64.7%,68.6%,50.7%,62.3%,33.2%,60.2%,35.6%
US Open,11,Hard,26,14,12,53.8%,19,14,5,73.7%,2002,2013,R64,19,0.99,3.8%,2.9%,57.9%,71.3%,54.1%,64.1%,35.6%,63.2%,41.3%
Casablanca,8,Clay,18,10,8,55.6%,1,0,1,0.0%,2007,2014,F,18,1.05,4.1%,2.7%,58.8%,64.5%,49.6%,58.3%,43.7%,57.8%,46.1%
Bucharest,7,Clay,22,16,6,72.7%,7,5,2,71.4%,2005,2013,W,22,1.13,4.2%,2.1%,59.7%,67.9%,50.8%,61.0%,44.1%,57.3%,47.1%
Miami Masters,7,Hard,14,7,7,50.0%,11,5,6,45.5%,2006,2013,R32,14,0.97,5.2%,2.6%,59.0%,70.5%,53.0%,63.3%,35.6%,62.9%,40.2%
s Hertogenbosch,6,Grass,10,4,6,40.0%,3,1,2,33.3%,2006,2011,SF,10,0.97,5.0%,2.4%,60.5%,72.0%,52.3%,64.2%,34.6%,58.8%,32.8%
Paris Masters,6,Hard,10,4,6,40.0%,2,1,1,50.0%,2005,2012,R32,8,0.83,5.5%,3.2%,60.1%,69.1%,54.9%,63.5%,30.4%,58.3%,34.2%
Indian Wells Masters,6,Hard,9,3,6,33.3%,5,3,2,60.0%,2006,2011,R64,9,0.83,5.2%,2.8%,58.6%,68.5%,47.0%,59.6%,33.7%,62.8%,35.3%
