Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,19,6,13,31.6%,1,0,1,0.0%,2008,2020,R64,12,0.92,3.4%,6.7%,61.5%,60.4%,40.9%,52.9%,43.3%,45.2%,45.5%
Roland Garros,9,Clay,15,6,9,40.0%,4,2,2,50.0%,2009,2018,R64,9,0.90,2.9%,5.9%,61.0%,61.6%,45.7%,55.4%,40.3%,50.0%,44.6%
Wimbledon,5,Grass,8,3,5,37.5%,0,0,0,-,2009,2015,Q3,0,,,,,,,,,,
US Open,7,Hard,11,3,8,27.3%,3,1,2,33.3%,2009,2018,R128,10,0.91,3.9%,7.1%,61.8%,60.3%,40.0%,52.5%,43.0%,50.0%,37.4%
Fed Cup,1,,1,0,1,0.0%,0,0,0,-,2012,2012,,0,,,,,,,,,,
Hobart,8,Hard,12,4,8,33.3%,4,2,2,50.0%,2009,2019,R16,12,0.87,4.0%,4.7%,62.5%,61.0%,41.6%,53.8%,40.4%,49.5%,50.7%
Brisbane,6,Hard,9,2,7,22.2%,4,2,2,50.0%,2010,2018,R32,7,0.90,1.8%,6.1%,63.4%,60.2%,44.7%,54.5%,40.9%,52.2%,53.7%
Sydney,4,Hard,4,0,4,0.0%,0,0,0,-,2008,2018,R32,3,0.85,5.7%,6.2%,58.0%,67.0%,50.6%,60.1%,34.0%,50.0%,40.0%
Kuala Lumpur,3,Hard,5,2,3,40.0%,1,1,0,100.0%,2010,2013,QF,4,1.00,5.4%,6.0%,62.2%,66.1%,46.9%,58.9%,41.3%,57.1%,38.2%
Washington,3,Hard,5,2,3,40.0%,6,5,1,83.3%,2014,2018,R32,5,0.92,1.9%,6.7%,58.4%,63.7%,41.9%,54.6%,41.9%,44.8%,45.8%
Indian Wells,2,Hard,4,2,2,50.0%,1,0,1,0.0%,2012,2014,R128,4,0.99,6.0%,6.0%,64.7%,68.6%,39.4%,58.3%,41.5%,48.0%,29.4%
