Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,4,1,3,25.0%,3-7,30.0%,46-51,47.4%,0-1,0.0%,4,64.6%,31.3%,2.6%,7.2%,54.4%,64.7%,47.1%,56.7%,42.1%,49.1%,0.97,R32 (2x)
2015,4,0,4,0.0%,2-8,20.0%,32-53,37.6%,0-0,-,4,51.7%,23.3%,2.8%,6.0%,61.5%,58.0%,33.9%,48.8%,37.3%,43.2%,0.73,R32 (2x)
2014,10,2,8,20.0%,7-16,30.4%,93-126,42.5%,2-0,100.0%,10,-,-,4.9%,6.1%,56.9%,61.0%,45.0%,54.1%,41.3%,47.6%,0.90,R16 (Hobart)
2013,5,0,5,0.0%,2-10,16.7%,39-72,35.1%,0-0,-,4,-,-,4.9%,5.8%,62.2%,56.4%,41.2%,50.7%,29.8%,40.6%,0.60,R32 (3x)
2012,10,3,7,30.0%,9-15,37.5%,93-118,44.1%,1-0,100.0%,9,-,-,2.5%,7.8%,62.7%,60.0%,40.4%,52.7%,43.9%,48.4%,0.93,QF (Kuala Lumpur)
2011,3,0,3,0.0%,0-6,0.0%,15-37,28.8%,0-0,-,2,-,-,3.8%,1.5%,67.7%,43.2%,42.9%,43.1%,40.7%,41.9%,0.71,R32 (2x)
2010,3,0,3,0.0%,1-6,14.3%,20-38,34.5%,0-0,-,2,-,-,2.9%,5.1%,68.6%,54.3%,37.2%,48.9%,42.1%,45.5%,0.82,R32 (2x)
2009,5,1,4,20.0%,5-8,38.5%,57-73,43.8%,1-0,100.0%,5,-,-,2.3%,8.4%,62.2%,58.8%,37.7%,50.8%,41.8%,46.4%,0.85,R32 (Hobart)
Career,44,7,37,15.9%,29-76,27.6%,395-568,41.0%,4-1,80.0%,40,59.7%,28.2%,3.4%,6.7%,60.7%,58.9%,41.5%,52.0%,40.9%,46.5%,0.85,
