Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R16,L vs Navarro,101.1,111.6,11.3,117.8,96.9,125,84,87.5,8.1,84.3,,109,76
2024 US Open R32,W vs Svitolina,97.3,108.2,10.0,114.7,95.5,120,69,83.5,4.9,81.6,86.0,94,73
2024 US Open R64,W vs Maria,93.3,103.7,11.0,104.5,86.0,116,84,82.5,4.7,85.8,81.5,92,71
2024 US Open R128,W vs Gracheva,98.5,106.1,9.8,107.9,97.0,120,84,80.3,5.3,84.3,,88,68
2024 Wimbledon R16,L vs Navarro,104.0,112.6,6.2,115.3,107.3,122,96,91.7,7.8,,90.0,106,79
2024 Wimbledon R32,W vs Kartal,101.5,107.7,8.5,115.3,102.3,120,93,81.6,2.8,82.3,,87,77
2024 Wimbledon R64,W vs Todoni,98.6,112.3,6.9,116.0,107.3,123,95,87.7,7.2,86.2,,109,79
2024 Wimbledon R128,W vs Dolehide,101.3,110.6,8.1,117.8,101.0,124,98,85.0,5.2,,79.0,95,74
2023 US Open F,W vs Sabalenka,99.1,106.0,7.9,107.2,98.0,118,88,82.2,4.5,78.7,,92,72
2023 US Open SF,W vs Muchova,92.3,100.8,8.0,106.5,92.8,118,83,81.1,4.4,83.5,83.0,90,73
2023 US Open QF,W vs Ostapenko,95.6,107.5,7.7,109.0,98.0,118,85,82.5,4.1,82.0,86.5,90,75
2023 US Open R16,W vs Wozniacki,95.0,102.2,9.9,106.8,93.3,117,80,82.1,4.9,78.3,88.8,92,73
2023 US Open R32,W vs Mertens,98.3,104.4,10.0,107.5,98.7,120,79,83.0,3.9,83.3,,90,73
2023 US Open R64,W vs Andreeva,99.1,111.3,7.3,110.3,101.0,120,93,81.8,3.0,83.0,,88,76
2023 US Open R128,W vs Siegemund,94.0,105.1,9.0,110.5,95.9,117,73,83.0,4.9,82.4,,95,73
2023 Wimbledon R128,L vs Kenin,101.5,108.0,6.0,110.9,105.3,120,94,84.3,4.3,89.0,82.5,94,78
2022 US Open QF,L vs Garcia,94.9,97.2,13.4,101.8,90.2,120,72,81.9,5.2,,82.0,92,76
2022 US Open R16,W vs Zhang,95.5,97.6,6.6,101.5,95.3,111,82,87.2,5.5,94.0,,98,79
2022 US Open R32,W vs Keys,93.0,96.4,9.8,101.7,97.8,119,66,84.0,4.9,83.3,82.0,91,75
2022 US Open R64,W vs Ruse,98.0,101.7,10.5,106.2,96.8,128,76,86.5,5.2,77.0,89.0,94,77
Career (38 matches),,98.8,105.3,9.0,109.6,99.5,128,66,86.3,5.2,86.1,87.8,109,68
