Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,48,35,13,72.9%,75-37,67.0%,569-441,56.3%,8-2,80.0%,44,66.2%,45.1%,3.8%,11.1%,62.7%,67.0%,40.9%,57.3%,47.7%,52.4%,1.12
Clay,21,18,3,85.7%,36-11,76.6%,265-169,61.1%,4-3,57.1%,21,67.0%,55.2%,2.8%,8.2%,60.0%,67.0%,46.2%,58.7%,52.6%,55.6%,1.27
Grass,2,0,2,0.0%,0-4,0.0%,13-25,34.2%,0-1,0.0%,2,57.9%,11.1%,2.6%,13.8%,41.4%,70.8%,39.7%,52.6%,33.9%,43.4%,0.72
Grand Slams,17,14,3,82.4%,28-11,71.8%,211-143,59.6%,2-4,33.3%,17,68.0%,52.0%,2.3%,9.4%,63.4%,66.5%,45.1%,58.7%,50.4%,54.4%,1.22
Premiers,3,1,2,33.3%,2-4,33.3%,25-26,49.0%,0-0,-,3,64.0%,34.6%,2.6%,8.5%,60.8%,66.7%,36.7%,54.9%,44.6%,49.5%,0.99
Internationals,4,3,1,75.0%,7-2,77.8%,44-31,58.7%,1-0,100.0%,0,,,,,,,,,,,
Finals,5,2,3,40.0%,5-7,41.7%,57-63,47.5%,0-2,0.0%,5,61.7%,34.5%,3.6%,9.1%,62.7%,60.5%,43.9%,54.3%,43.1%,48.9%,0.94
Semi-finals,8,6,2,75.0%,13-5,72.2%,96-68,58.5%,3-0,100.0%,7,60.6%,52.8%,3.0%,9.7%,61.3%,63.6%,42.9%,55.6%,50.6%,53.1%,1.14
Quarter-finals,11,8,3,72.7%,17-8,68.0%,128-95,57.4%,1-1,50.0%,10,63.4%,47.5%,2.6%,9.7%,62.1%,66.7%,41.0%,57.0%,49.4%,53.0%,1.15
vs Righties,66,49,17,74.2%,103-50,67.3%,792-602,56.8%,12-6,66.7%,62,66.8%,46.1%,3.4%,10.1%,61.4%,67.0%,43.2%,57.8%,48.4%,53.1%,1.15
vs Lefties,4,3,1,75.0%,6-2,75.0%,43-27,61.4%,0-0,-,4,61.1%,58.3%,3.4%,12.0%,58.4%,69.9%,35.1%,55.4%,53.2%,54.3%,1.19
vs Top 10,19,10,9,52.6%,24-21,53.3%,225-216,51.0%,5-4,55.6%,18,58.7%,41.7%,3.4%,10.1%,60.6%,63.5%,41.6%,54.9%,46.5%,50.6%,1.03
