Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,247,174,73,70.4%,370-195,65.5%,2919-2329,55.6%,41-17,70.7%,238,71.1%,39.6%,5.6%,8.2%,61.6%,68.3%,44.4%,59.1%,45.4%,52.2%,1.11
Clay,89,67,22,75.3%,137-62,68.8%,1060-760,58.2%,12-10,54.5%,89,67.3%,49.0%,3.7%,8.5%,59.4%,67.2%,43.9%,57.7%,49.4%,53.6%,1.17
Grass,33,21,12,63.6%,44-27,62.0%,359-317,53.1%,6-3,66.7%,33,75.2%,30.1%,7.6%,5.4%,60.2%,71.6%,48.0%,62.2%,41.3%,51.4%,1.09
Grand Slams,102,78,24,76.5%,161-69,70.0%,1225-891,57.9%,13-8,61.9%,102,74.1%,41.3%,5.1%,7.9%,61.8%,70.0%,46.0%,60.9%,46.0%,53.3%,1.18
Premiers,104,65,39,62.5%,140-93,60.1%,1193-1009,54.2%,17-14,54.8%,103,69.5%,39.1%,6.0%,7.2%,60.3%,66.9%,45.4%,58.4%,45.0%,51.7%,1.08
Internationals,36,30,6,83.3%,62-18,77.5%,433-294,59.6%,5-1,83.3%,30,74.7%,42.8%,6.1%,6.8%,63.2%,68.9%,45.9%,60.4%,45.9%,53.1%,1.16
Finals,16,12,4,75.0%,25-13,65.8%,194-156,55.4%,1-3,25.0%,16,69.1%,42.1%,4.3%,7.6%,63.8%,65.8%,43.3%,57.6%,46.9%,52.3%,1.11
Semi-finals,34,17,17,50.0%,39-38,50.6%,372-359,50.9%,7-5,58.3%,33,63.9%,36.2%,5.1%,7.7%,57.9%,65.1%,44.2%,56.3%,43.0%,49.7%,0.98
Quarter-finals,52,32,20,61.5%,67-48,58.3%,578-498,53.7%,6-8,42.9%,49,67.7%,38.6%,5.1%,8.0%,62.4%,65.6%,44.0%,57.5%,45.1%,51.2%,1.06
vs Righties,339,237,102,69.9%,500-269,65.0%,3972-3175,55.6%,55-28,66.3%,330,70.0%,40.6%,5.3%,8.0%,61.0%,67.9%,44.6%,58.8%,45.8%,52.3%,1.11
vs Lefties,24,19,5,79.2%,39-13,75.0%,284-183,60.8%,3-1,75.0%,24,75.8%,44.5%,5.8%,8.7%,59.5%,73.0%,44.9%,61.6%,47.7%,54.6%,1.24
vs Top 10,72,34,38,47.2%,75-86,46.6%,750-803,48.3%,14-9,60.9%,71,64.0%,31.7%,4.5%,7.6%,60.4%,64.7%,43.2%,56.2%,42.2%,49.2%,0.96
