Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,7,2,5,28.6%,2,1,1,50.0%,2011,2023,R128,7,0.89,1.3%,7.9%,58.3%,54.3%,43.1%,49.6%,44.6%,47.4%,37.8%
Roland Garros,10,Clay,20,10,10,50.0%,5,3,2,60.0%,2009,2022,R64,13,0.88,1.4%,9.2%,62.0%,57.8%,37.8%,50.2%,43.9%,51.1%,52.9%
Wimbledon,9,Grass,22,13,9,59.1%,7,4,3,57.1%,2009,2024,R32,11,1.01,1.7%,6.6%,61.4%,65.0%,45.7%,57.6%,42.9%,61.9%,38.8%
US Open,9,Hard,16,7,9,43.8%,3,2,1,66.7%,2009,2025,R128,12,0.92,2.7%,9.3%,60.0%,57.8%,43.5%,52.1%,44.1%,58.2%,40.0%
Prague,2,Hard,2,0,2,0.0%,1,1,0,100.0%,2021,2022,R32,2,0.72,1.4%,11.7%,62.1%,61.1%,38.2%,52.4%,34.2%,33.3%,7.1%
Lyon,2,Hard,4,2,2,50.0%,1,1,0,100.0%,2020,2022,QF,4,0.94,5.4%,10.0%,57.7%,64.6%,33.9%,51.6%,45.7%,43.2%,50.0%
St. Petersburg,3,Hard,5,2,3,40.0%,3,1,2,33.3%,2019,2022,R32,5,0.98,2.7%,9.8%,59.3%,60.5%,44.9%,54.1%,44.8%,43.8%,47.2%
Moscow,8,Hard,21,12,9,57.1%,4,1,3,25.0%,2009,2021,QF,19,1.04,2.3%,9.3%,57.3%,62.1%,42.2%,53.6%,48.3%,47.1%,49.4%
Birmingham,2,Grass,5,3,2,60.0%,1,1,0,100.0%,2010,2021,R32,5,0.94,1.8%,6.6%,63.3%,64.2%,41.5%,55.8%,41.6%,62.8%,44.4%
Taipei,5,Hard,21,18,3,85.7%,2,2,0,100.0%,2014,2019,W,21,1.23,5.0%,5.9%,60.8%,68.2%,50.3%,61.2%,47.7%,54.7%,52.1%
