Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,1,Hard,1,0,1,0.0%,1,1,0,100.0%,2026,2026,Q1,1,0.73,1.0%,4.1%,59.8%,70.7%,41.0%,58.8%,30.1%,58.3%,100.0%
US Open,1,Hard,1,0,1,0.0%,1,1,0,100.0%,2025,2025,Q1,1,0.91,2.5%,5.1%,61.0%,55.6%,52.2%,54.2%,41.5%,66.7%,36.4%
