Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2004,6,3,3,50.0%,7-8,46.7%,68-73,48.2%,0-0,-,2,-,-,2.6%,6.8%,61.5%,50.0%,42.2%,47.0%,52.7%,49.5%,0.99,
2003,22,8,14,36.4%,21-32,39.6%,220-262,45.6%,2-2,50.0%,3,-,-,0.5%,3.2%,64.0%,55.5%,43.3%,51.1%,30.9%,41.7%,0.63,SF (s Hertogenbosch)
2002,36,16,20,44.4%,39-47,45.3%,401-407,49.6%,3-7,30.0%,0,,,,,,,,,,,,QF (2x)
2001,38,17,21,44.7%,44-47,48.4%,431-421,50.6%,7-5,58.3%,0,,,,,,,,,,,,W (Antwerp)
2000,22,10,12,45.5%,25-28,47.2%,247-252,49.5%,2-3,40.0%,0,,,,,,,,,,,,SF (Luxembourg)
1999,33,15,18,45.5%,33-39,45.8%,324-341,48.7%,2-2,50.0%,0,,,,,,,,,,,,SF (Knokke-Heist)
1998,27,13,14,48.1%,28-31,47.5%,268-257,51.0%,3-2,60.0%,0,,,,,,,,,,,,SF (Palermo)
1997,29,10,19,34.5%,25-36,41.0%,272-287,48.7%,1-2,33.3%,0,,,,,,,,,,,,QF (Linz)
1996,28,12,16,42.9%,27-31,46.6%,261-264,49.7%,1-1,50.0%,0,,,,,,,,,,,,QF (Essen)
1995,34,17,17,50.0%,38-32,54.3%,326-292,52.8%,3-4,42.9%,0,,,,,,,,,,,,F (Linz)
1994,43,25,18,58.1%,55-37,59.8%,440-360,55.0%,1-3,25.0%,0,,,,,,,,,,,,QF (6x)
1993,42,25,17,59.5%,51-33,60.7%,397-335,54.2%,6-4,60.0%,0,,,,,,,,,,,,F (San Marino)
1992,41,25,16,61.0%,46-33,58.2%,360-325,52.6%,3-4,42.9%,0,,,,,,,,,,,,W (Schenectady)
1991,44,25,19,56.8%,52-46,53.1%,445-423,51.3%,6-2,75.0%,0,,,,,,,,,,,,F (2x)
1990,6,3,3,50.0%,4-8,33.3%,44-56,44.0%,1-0,100.0%,0,,,,,,,,,,,,R16 (2x)
Career,451,224,227,49.7%,495-488,50.4%,4504-4355,50.8%,41-41,50.0%,5,-,-,1.3%,4.6%,63.0%,53.4%,42.9%,49.5%,38.8%,44.6%,0.77,
