Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2004,235,130,100,1622,108,1555,72,1601,65,1551,,,,
2003,120,296,67,1673,84,1584,65,1632,58,1566,,,,
2002,66,551,75,1673,90,1576,49,1664,86,1528,,,,
2001,68,520,35,1729,61,1617,31,1697,50,1571,,,,
2000,99,342,70,1686,90,1576,54,1650,59,1565,,,,
1999,59,524,53,1722,66,1625,57,1661,59,1575,,,,
1998,66,418,82,1670,93,1577,55,1651,65,1561,,,,
1997,71,366,87,1665,102,1579,69,1634,69,1549,,,,
1996,47,512,77,1693,82,1623,72,1650,80,1541,,,,
1995,51,30,49,1749,73,1659,41,1703,,,,,,
1994,40,42,21,1829,27,1743,21,1752,36,1660,,,,
1993,34,43,30,1807,32,1737,22,1745,46,1616,,,,
1992,29,35,28,1824,19,1773,46,1704,49,1610,,,,
1991,43,23,40,1755,46,1682,64,1658,93,1526,,,,
1990,110,11,107,1657,74,1638,104,1604,136,1487,,,,
1989,349,1,277,1474,,,236,1462,,,,,,
