Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
14-Oct-2024,W100 Shrewsbury,Hard,F,157,102,(3) Sonay Kartal [GBR] d. Watson,7-5 4-1 RET,,,,,,,,
15-Jul-2024,W50 Nottingham,Hard,F,203,249,(2) Watson d. (3) Manon Leonard [FRA],6-3 6-0,,,,,,,,
12-Feb-2024,W50 Roehampton,Hard,F,132,202,(7) Lulu Sun [NZL] d. (2) Watson,7-5 7-5,,,,,,,,
24-Apr-2023,W40+H Calvi,Hard,F,169,117,(2) Lucrezia Stefanini [ITA] d. (5) Watson,6-2 3-6 6-3,,,,,,,,
13-Feb-2023,W25 Glasgow,Hard,F,151,234,(4) Marie Benoit [BEL] d. (1) Watson,3-6 6-4 6-1,,,,,,,,
17-Oct-2022,W60 Glasgow,Hard,F,145,290,Yuriko Miyazaki [GBR] d. (4) Watson,5-7 7-6(5) 6-2,,,,,,,,
24-Feb-2020,Acapulco,Hard,F,69,190,(7) Watson d. (Q) Leylah Fernandez [CAN],6-4 6-7(8) 6-1,1.23,5.4%,3.6%,59.8%,79.1%,42.2%,6/8,2:46
07-Oct-2019,Tianjin,Hard,F,125,59,Rebecca Peterson [SWE] d. Watson,6-4 6-4,0.81,2.6%,2.6%,56.4%,65.9%,38.2%,6/10,1:37
12-Aug-2019,W100 Vancouver,Hard,F,110,89,(6) Watson d. (3) Sara Sorribes Tormo [ESP],7-5 6-4,,,,,,,,
06-May-2019,W60 Fukuoka,Carpet,F,119,98,(2) Watson d. Zarina Diyas [KAZ],7-6(1) 7-6(4),,,,,,,,
