Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2020 Strasbourg R32,L vs Sabalenka,2.8,2.6,3.0,39.0%,65.0%,42.9%,0.0%,49.2%,14.8%,1.5,2.6,-4.0,-7.7
2019 Hobart R32,L vs Parmentier,3.5,3.7,3.3,47.4%,45.3%,57.1%,33.3%,51.4%,12.5%,-5.0,-3.3,-3.5,-2.6
Career (2 matches),,3.3,3.4,3.2,44.4%,50.7%,52.4%,30.8%,50.8%,13.1%,-1.8,-1.7,-3.8,-4.1
