Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,22,14,8,63.6%,18,11,7,61.1%,2019,2026,QF,22,1.17,12.3%,4.2%,64.4%,76.6%,53.0%,68.2%,37.1%,57.4%,38.8%
Roland Garros,7,Clay,14,7,7,50.0%,3,2,1,66.7%,2018,2025,R16,12,1.10,7.5%,4.7%,61.9%,72.0%,50.8%,63.9%,39.7%,60.9%,35.6%
Wimbledon,6,Grass,13,7,6,53.8%,11,4,7,36.4%,2019,2025,QF,13,1.07,12.5%,5.6%,61.4%,76.8%,52.4%,67.4%,34.9%,60.8%,36.7%
US Open,9,Hard,27,18,9,66.7%,18,14,4,77.8%,2017,2025,SF,25,1.10,12.0%,6.4%,63.3%,75.9%,49.0%,66.1%,37.2%,64.3%,34.4%
Olympics,2,,7,4,3,57.1%,3,1,2,33.3%,2021,2024,BR,6,1.29,14.3%,3.3%,67.6%,79.3%,49.2%,69.5%,39.2%,59.1%,38.1%
Davis Cup,3,,12,9,3,75.0%,5,2,3,40.0%,2019,2024,,6,1.05,9.0%,4.1%,67.2%,73.1%,48.8%,65.1%,36.5%,64.3%,41.7%
Miami Masters,8,Hard,20,12,8,60.0%,12,7,5,58.3%,2018,2026,SF,20,1.08,11.5%,6.0%,64.7%,74.6%,50.8%,66.2%,36.4%,65.8%,37.9%
Indian Wells Masters,8,Hard,19,11,8,57.9%,11,6,5,54.5%,2018,2026,QF,19,1.02,9.8%,6.4%,59.4%,73.5%,52.2%,64.8%,35.9%,67.5%,36.4%
Dubai,3,Hard,11,8,3,72.7%,6,4,2,66.7%,2023,2026,F,11,1.11,12.4%,3.4%,66.5%,76.3%,52.7%,68.4%,35.0%,72.2%,23.3%
Rotterdam,8,Hard,23,16,7,69.6%,10,7,3,70.0%,2018,2026,W,23,1.18,13.9%,4.8%,63.4%,79.3%,49.6%,68.4%,37.3%,68.0%,36.6%
Montpellier,4,Hard,13,11,2,84.6%,10,6,4,60.0%,2020,2026,W,13,1.32,16.9%,3.7%,68.9%,78.9%,54.9%,71.4%,37.7%,56.8%,38.9%
United Cup,2,Hard,4,2,2,50.0%,0,0,0,-,2024,2026,W,4,1.06,15.5%,4.1%,67.9%,74.6%,44.2%,64.9%,37.4%,66.7%,47.6%
