Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),7,4000,7,1986,7,1946,16,1864,14,1794,,,,
2025,5,4190,7,1991,6,1959,18,1866,14,1797,,,,
2024,29,1635,28,1868,31,1802,19,1838,30,1728,544,90,,
2023,29,1425,15,1898,13,1867,20,1814,18,1769,,,,
2022,6,4195,4,2042,4,2006,10,1913,6,1865,,,,
2021,11,3308,18,1902,24,1840,26,1792,5,1843,,,,
2020,21,2216,34,1817,31,1780,31,1754,,,,,,
2019,21,1636,45,1815,56,1741,29,1788,23,1743,,,,
2018,108,527,89,1706,90,1659,91,1644,,,370,80,,
2017,162,342,187,1556,180,1507,157,1537,,,991,29,,
2016,613,48,,,,,,,,,865,44,,
2015,742,32,,,,,,,,,1647,6,,
