Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,,
2025,2,1,1,50.0%,2-3,40.0%,21-29,42.0%,1-1,50.0%,0,,,,,,,,,,,,
2024,1,1,0,100.0%,2-0,100.0%,13-7,65.0%,0-0,-,1,100.0%,30.0%,8.2%,8.2%,59.0%,86.1%,52.0%,72.1%,36.7%,54.5%,1.32,
2023,6,1,5,16.7%,4-9,30.8%,55-73,43.0%,1-2,33.3%,2,73.7%,5.0%,11.0%,5.2%,55.8%,65.1%,44.1%,55.8%,27.3%,42.9%,0.62,
2022,6,1,5,16.7%,3-10,23.1%,43-72,37.4%,1-0,100.0%,5,59.6%,4.0%,8.4%,4.4%,57.9%,66.7%,40.0%,55.5%,21.6%,40.3%,0.49,
2021,3,2,1,66.7%,4-2,66.7%,31-24,56.4%,0-1,0.0%,3,88.9%,25.9%,8.3%,3.0%,60.9%,77.7%,57.6%,69.8%,36.3%,52.6%,1.20,
2020,4,1,3,25.0%,2-6,25.0%,21-42,33.3%,0-0,-,4,48.4%,18.8%,4.8%,3.7%,54.0%,54.5%,44.2%,49.7%,33.5%,41.7%,0.67,
2019,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-0,-,0,,,,,,,,,,,,
2018,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,37.5%,12.5%,6.3%,12.5%,54.2%,61.5%,22.7%,43.8%,33.3%,38.9%,0.59,
2017,3,2,1,66.7%,4-4,50.0%,41-40,50.6%,1-2,33.3%,2,82.1%,20.5%,5.5%,5.8%,60.7%,76.0%,46.3%,64.4%,36.7%,50.5%,1.03,
2016,2,1,1,50.0%,3-5,37.5%,30-45,40.0%,1-0,100.0%,2,73.0%,8.1%,5.7%,1.2%,67.8%,67.5%,44.3%,60.0%,28.1%,44.8%,0.70,
2014,4,0,4,0.0%,1-10,9.1%,35-66,34.7%,0-1,0.0%,0,,,,,,,,,,,,
Career,34,10,24,29.4%,25-55,31.3%,307-435,41.4%,5-7,41.7%,20,70.2%,13.9%,7.1%,4.4%,59.7%,69.0%,44.7%,59.2%,30.9%,45.6%,0.76,
