Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,22,11,11,50.0%,2,0,2,0.0%,1997,2007,QF,4,0.81,6.1%,9.9%,56.9%,66.3%,37.8%,54.0%,37.3%,47.5%,52.0%
Roland Garros,11,Clay,22,11,11,50.0%,6,1,5,16.7%,1997,2007,R16,10,1.01,6.4%,5.6%,47.9%,70.5%,44.2%,56.8%,43.7%,55.3%,44.9%
Wimbledon,12,Grass,22,10,12,45.5%,12,4,8,33.3%,1996,2007,R16,6,0.91,7.0%,6.8%,58.5%,68.2%,43.5%,57.9%,38.4%,62.1%,50.0%
US Open,13,Hard,25,12,13,48.0%,4,3,1,75.0%,1996,2009,R16,10,1.01,7.9%,5.2%,53.0%,70.6%,49.6%,60.7%,39.8%,51.5%,33.3%
Fed Cup,2,,7,3,4,42.9%,4,1,3,25.0%,2002,2003,,0,,,,,,,,,,
Indian Wells,10,Hard,22,11,11,50.0%,4,1,3,25.0%,1997,2007,R16,3,1.09,4.8%,5.2%,53.3%,71.4%,53.1%,62.9%,40.6%,57.7%,50.0%
Tokyo,8,Hard,15,5,10,33.3%,1,1,0,100.0%,1997,2009,R16,1,0.83,9.8%,9.1%,38.6%,72.5%,44.4%,55.3%,37.1%,73.9%,28.6%
Amelia Island,10,Clay,15,5,10,33.3%,1,0,1,0.0%,1997,2008,QF,5,0.94,4.6%,5.0%,57.9%,67.4%,46.3%,58.5%,39.0%,61.5%,31.6%
Stanford,9,Hard,20,11,9,55.0%,9,6,3,66.7%,1999,2009,SF,2,0.59,9.7%,9.7%,41.7%,69.8%,38.3%,51.5%,28.7%,33.3%,0.0%
Miami,9,Hard,16,7,9,43.8%,6,1,5,16.7%,2000,2008,QF,5,0.88,7.9%,5.5%,55.2%,71.7%,45.1%,59.8%,35.6%,57.1%,40.0%
San Diego,9,Hard,12,3,9,25.0%,3,0,3,0.0%,1999,2007,R16,3,0.97,6.6%,4.9%,53.8%,65.3%,40.5%,53.8%,44.6%,60.7%,40.9%
