Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,261,128,133,49.0%,304-285,51.6%,2790-2715,50.7%,28-30,48.3%,57,-,-,7.9%,5.6%,53.7%,69.9%,45.5%,58.6%,38.2%,48.7%,0.92
Clay,142,74,68,52.1%,164-147,52.7%,1452-1411,50.7%,13-15,46.4%,27,-,-,5.1%,6.0%,52.2%,67.5%,44.4%,56.5%,42.1%,49.4%,0.97
Grass,39,20,19,51.3%,39-45,46.4%,420-435,49.1%,10-12,45.5%,9,-,-,7.7%,6.4%,58.6%,69.8%,43.8%,59.0%,37.2%,48.7%,0.91
Carpet,31,14,17,45.2%,33-41,44.6%,365-379,49.1%,7-7,50.0%,1,-,-,9.8%,9.1%,38.6%,72.5%,44.4%,55.3%,37.1%,47.3%,0.83
Grand Slams,78,38,40,48.7%,85-93,47.8%,868-861,50.2%,7-13,35.0%,30,-,-,6.9%,6.3%,52.8%,69.4%,44.9%,57.8%,40.6%,49.3%,0.96
Premiers,212,97,115,45.8%,234-251,48.2%,2255-2326,49.2%,27-30,47.4%,44,-,-,6.1%,5.7%,54.8%,67.5%,44.6%,57.1%,38.2%,48.0%,0.89
Internationals,118,72,46,61.0%,154-103,59.9%,1271-1114,53.3%,19-11,63.3%,20,-,-,10.6%,5.6%,51.4%,74.5%,46.2%,60.8%,38.9%,50.2%,0.99
Finals,10,6,4,60.0%,12-10,54.5%,99-92,51.8%,1-1,50.0%,1,-,-,10.4%,5.2%,48.1%,73.0%,42.5%,57.1%,25.9%,43.7%,0.60
Semi-finals,21,10,11,47.6%,22-24,47.8%,213-222,49.0%,4-2,66.7%,1,-,-,20.7%,1.1%,54.0%,80.9%,57.5%,70.1%,32.6%,50.5%,1.09
Quarter-finals,42,21,21,50.0%,49-45,52.1%,444-455,49.4%,10-5,66.7%,3,-,-,9.5%,8.3%,53.1%,72.7%,43.4%,58.9%,38.2%,49.3%,0.93
vs Righties,424,210,214,49.5%,483-472,50.6%,4534-4475,50.3%,50-58,46.3%,85,-,-,7.0%,5.8%,53.3%,68.8%,44.3%,57.4%,38.8%,48.4%,0.91
vs Lefties,33,16,17,48.5%,34-34,50.0%,322-335,49.0%,7-4,63.6%,5,-,-,9.5%,5.9%,54.0%,73.6%,53.5%,64.4%,38.9%,51.5%,1.09
vs Top 10,56,11,45,19.6%,28-91,23.5%,450-658,40.6%,4-10,28.6%,12,-,-,4.3%,5.9%,55.3%,66.0%,39.8%,54.3%,34.3%,44.5%,0.75
