Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2022 US Open R128,L vs Bencic,28.7%,39.1%,51.9%,28.1%,40.4%,51.2%,25.9%,20.0%,20.0%,40.9%,50.0%,53.8%,44.4%,7.7%,0.0%,218
2022 St Petersburg R16,L vs Ostapenko,28.6%,31.0%,27.6%,33.3%,33.3%,27.8%,56.3%,36.4%,0.0%,21.4%,28.6%,27.3%,0.0%,33.3%,33.3%,-23
2022 Melbourne R16,W vs Burel,13.8%,13.8%,44.2%,11.3%,11.3%,46.0%,37.8%,38.2%,33.3%,26.3%,26.3%,35.7%,11.1%,10.0%,0.0%,106
2021 Cluj Napoca F,W vs Sherif,15.8%,26.3%,75.9%,21.7%,30.4%,66.7%,60.0%,53.8%,-,8.3%,25.0%,90.9%,40.0%,0.0%,-,-42
2021 Cluj Napoca QF,W vs Mendez,18.7%,27.5%,58.0%,15.5%,25.9%,59.2%,53.1%,57.7%,75.0%,28.6%,35.7%,55.0%,12.5%,50.0%,0.0%,79
2021 Hamburg F,L vs Ruse,27.4%,28.6%,37.3%,23.2%,25.0%,44.2%,46.4%,32.1%,0.0%,38.5%,38.5%,18.8%,22.2%,64.7%,100.0%,-18
2021 Wimbledon R64,L vs Krejcikova,26.2%,37.7%,47.6%,30.0%,45.0%,53.6%,57.1%,57.9%,100.0%,22.2%,27.8%,35.7%,0.0%,23.1%,0.0%,68
2021 Stuttgart R32,L vs Sakkari,14.6%,19.5%,21.2%,17.4%,17.4%,21.1%,33.3%,27.3%,-,12.5%,25.0%,21.4%,71.4%,66.7%,50.0%,9
2019 Linz SF,L vs Gauff,27.5%,34.8%,44.7%,31.9%,40.4%,46.9%,52.2%,37.5%,0.0%,21.1%,26.3%,40.0%,33.3%,30.0%,0.0%,11
2019 Guangzhou R32,W vs Pattinama Kerkhove,28.0%,31.4%,37.0%,35.1%,37.8%,33.3%,43.6%,40.0%,50.0%,21.9%,28.1%,44.0%,33.3%,30.0%,25.0%,64
2019 Wimbledon R128,L vs Niculescu,17.9%,25.3%,44.6%,20.7%,32.8%,45.7%,63.3%,39.3%,40.0%,15.2%,15.2%,42.9%,33.3%,16.7%,50.0%,27
2019 Stuttgart R32,W vs Sorribes Tormo,7.5%,19.4%,58.3%,8.2%,24.5%,60.0%,33.3%,42.9%,40.0%,6.3%,6.3%,53.3%,14.3%,22.2%,-,-55
2019 Indian Wells R128,L vs Williams,19.2%,28.2%,47.5%,18.2%,30.9%,51.1%,34.5%,26.9%,28.6%,23.8%,23.8%,37.5%,25.0%,7.7%,25.0%,1
2019 Fed Cup RR,L vs Sabalenka,19.6%,32.1%,39.5%,25.0%,41.7%,37.0%,42.1%,47.1%,37.5%,11.1%,16.7%,43.8%,25.0%,50.0%,50.0%,-4
2018 Washington R32,W vs Loeb,25.6%,35.9%,64.3%,34.6%,46.2%,70.6%,40.0%,6.3%,-,8.3%,16.7%,54.5%,20.0%,28.6%,-,-104
2018 Roland Garros R32,L vs Halep,6.3%,17.2%,42.9%,5.9%,19.6%,45.8%,42.3%,32.0%,40.0%,11.1%,11.1%,25.0%,33.3%,66.7%,100.0%,-30
2017 Beijing R32,L vs Pliskova,29.7%,34.4%,52.4%,29.3%,36.6%,58.6%,50.0%,52.6%,40.0%,35.0%,35.0%,38.5%,50.0%,25.0%,0.0%,53
2017 Istanbul R32,L vs Yastremska,20.6%,20.6%,31.9%,22.2%,22.2%,34.3%,21.7%,72.7%,25.0%,20.0%,20.0%,25.0%,33.3%,66.7%,50.0%,73
2016 Luxembourg R32,W vs Minella,21.6%,23.4%,45.8%,22.7%,25.0%,48.5%,45.0%,50.0%,55.6%,21.1%,21.1%,33.3%,33.3%,40.0%,50.0%,81
2016 Fed Cup RR,W vs Niculescu,5.7%,8.0%,45.8%,7.8%,10.9%,45.8%,61.3%,39.4%,36.4%,0.0%,0.0%,46.2%,71.4%,50.0%,100.0%,-119
Career (44 matches),,19.4%,26.6%,47.3%,21.2%,30.3%,50.2%,43.3%,36.3%,35.4%,18.4%,21.9%,40.4%,29.2%,26.8%,27.8%,63
