Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1996,1001,,,,,,,,,,792,27,,
1995,134,,85,1773,91,1695,94,1712,37,1749,303,158,,
1994,94,,40,1864,79,1728,48,1790,17,1834,178,353,,
1993,101,,30,1911,71,1740,39,1840,17,1853,92,711,,
1992,61,,26,1922,71,1757,29,1882,17,1817,147,406,,
1991,161,,47,1854,89,1705,29,1855,25,1783,106,503,,
1990,30,,29,1896,62,1736,16,1909,17,1790,153,319,,
1989,115,,52,1821,55,1743,35,1827,,,653,,,
1988,9,,15,1993,25,1846,9,1981,10,1906,35,,,
1987,21,,25,1918,29,1828,17,1905,11,1865,129,,,
1986,6,,7,2087,11,1951,5,2093,7,1969,93,,,
1985,16,,13,2005,16,1899,10,1998,9,1920,22,,,
1984,27,,19,1945,15,1890,15,1915,48,1722,7,,,
1983,30,,30,1905,18,1894,21,1893,43,1716,,,,
1982,29,,18,1981,9,1965,40,1798,26,1778,,,,
