Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1993 Wimbledon R16,L vs Becker,35.0%,57.5%,47.3%,44.9%,38.0%,64.8%,52.3%,54.8%,11.4%,19.4%,0.0%,33.3%,51.1%,40.0%,45
1992 Roland Garros SF,L vs Korda,30.0%,39.1%,39.4%,33.4%,50.0%,61.4%,45.5%,58.4%,33.3%,57.7%,-,20.0%,29.1%,36.4%,70
1992 Roland Garros QF,W vs Kulti,27.5%,42.5%,49.5%,34.0%,33.7%,53.0%,45.5%,46.3%,21.1%,40.0%,12.5%,22.9%,34.3%,53.7%,59
1990 Hamburg SF,L vs Becker,18.8%,33.3%,49.4%,27.1%,21.2%,40.4%,48.8%,36.5%,21.4%,58.3%,50.0%,16.3%,25.6%,50.0%,-45
1990 Monte Carlo SF,L vs Muster,22.4%,32.8%,38.6%,28.8%,30.0%,42.5%,32.1%,39.3%,72.2%,50.0%,62.5%,5.9%,11.8%,50.0%,-57
1988 Roland Garros F,L vs Wilander,17.6%,25.7%,37.9%,23.4%,25.0%,37.5%,46.7%,35.8%,31.8%,61.1%,0.0%,9.7%,12.9%,28.6%,-21
1988 Roland Garros SF,W vs Svensson,22.3%,38.8%,55.6%,30.7%,37.8%,60.0%,67.9%,56.9%,42.9%,54.2%,66.7%,12.0%,26.0%,47.7%,-21
1988 Roland Garros QF,W vs Becker,24.3%,33.6%,57.3%,29.0%,40.3%,48.6%,48.8%,49.4%,16.7%,57.1%,33.3%,13.5%,32.4%,68.8%,10
1986 US Open QF,L vs Lendl,29.6%,39.8%,46.3%,33.9%,51.4%,68.6%,47.1%,63.4%,18.8%,36.8%,20.0%,31.4%,42.9%,45.8%,110
1986 Wimbledon SF,L vs Becker,36.4%,47.5%,45.6%,42.1%,46.0%,54.0%,47.1%,56.7%,13.3%,33.3%,0.0%,29.2%,45.8%,44.1%,114
1986 Roland Garros SF,L vs Pernfors,13.9%,19.7%,49.4%,17.0%,31.7%,43.9%,42.9%,40.7%,38.9%,47.8%,100.0%,7.5%,11.3%,53.1%,-51
1985 Australian Open R16,L vs Mcenroe,35.7%,54.8%,51.7%,42.6%,43.9%,57.3%,45.7%,57.2%,28.9%,22.7%,66.7%,31.7%,61.9%,58.1%,128
1985 Dusseldorf RR,W vs Lendl,17.6%,34.1%,50.9%,28.2%,29.8%,53.2%,60.6%,50.4%,21.7%,62.5%,66.7%,7.7%,23.1%,37.5%,-42
1984 Davis Cup EUR SF RR,W vs Lendl,11.1%,18.5%,52.0%,13.7%,41.2%,58.8%,60.0%,53.5%,20.0%,85.7%,-,11.8%,29.4%,46.7%,-8
1983 Kitzbuhel F,L vs Vilas,18.2%,30.0%,40.2%,25.6%,22.6%,35.5%,47.9%,35.8%,67.9%,47.1%,33.3%,13.3%,24.4%,30.8%,-15
Career (15 matches),,25.0%,37.9%,47.7%,31.3%,36.1%,51.9%,48.7%,49.1%,29.2%,44.9%,38.3%,19.4%,32.9%,46.7%,54
