Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,20,10,10,50.0%,7,5,2,71.4%,1997,2006,R32,6,1.02,1.3%,4.3%,67.6%,60.1%,43.9%,54.9%,45.8%,66.2%,53.2%
Roland Garros,9,Clay,19,10,9,52.6%,4,1,3,25.0%,1997,2006,R32,4,0.89,0.9%,4.7%,64.9%,52.2%,38.9%,47.5%,46.9%,52.1%,48.6%
Wimbledon,8,Grass,11,3,8,27.3%,1,1,0,100.0%,1997,2006,R64,1,0.81,1.9%,6.6%,67.9%,63.9%,35.3%,54.7%,36.7%,45.5%,55.6%
US Open,8,Hard,11,3,8,27.3%,0,0,0,-,1997,2006,R64,1,0.93,0.0%,4.4%,64.7%,50.0%,41.7%,47.1%,49.4%,37.5%,40.0%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2004,2004,R64,0,,,,,,,,,,
Fed Cup,7,,25,13,12,52.0%,1,1,0,100.0%,1997,2006,,0,,,,,,,,,,
Bogota,9,Clay,16,7,9,43.8%,6,2,4,33.3%,1998,2006,SF,0,,,,,,,,,,
Indian Wells,8,Hard,14,6,8,42.9%,4,2,2,50.0%,1998,2006,R32,1,0.66,0.0%,10.9%,60.0%,57.6%,13.6%,40.0%,39.6%,40.0%,40.0%
Miami,6,Hard,18,12,6,66.7%,7,3,4,42.9%,2000,2006,R32,2,0.95,2.5%,4.1%,67.8%,59.8%,46.2%,55.4%,42.6%,73.7%,60.0%
Acapulco,6,Clay,14,8,6,57.1%,4,3,1,75.0%,2001,2006,F,0,,,,,,,,,,
Rome,6,Clay,11,5,6,45.5%,3,3,0,100.0%,1994,2006,R64,0,,,,,,,,,,
Hobart,6,Hard,7,1,6,14.3%,1,1,0,100.0%,1997,2006,R32,0,,,,,,,,,,
