Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2006,192,143,138,1612,134,1561,112,1573,140,1462,,,,
2005,58,607,71,1750,69,1676,68,1688,119,1505,,,,
2004,102,368,148,1589,155,1522,121,1579,180,1387,,,,
2003,172,175,,,,,,,,,,,,
2002,89,407,90,1713,103,1600,71,1689,139,1469,,,,
2001,55,608,105,1674,117,1578,88,1642,144,1457,,,,
2000,112,292,144,1601,147,1510,122,1574,,,,,,
1999,107,274,131,1608,148,1485,119,1566,140,1450,,,,
1998,95,276,145,1555,160,1446,116,1562,152,1409,,,,
1997,106,232,151,1536,170,1398,125,1534,148,1417,,,,
1996,140,157,,,,,,,,,,,,
1995,186,7,,,,,,,,,,,,
1994,335,2,,,,,,,,,,,,
