Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2000 Miami R64,L vs Enqvist,59.6%,35.8%,1.1%,0/1,2.62,1.7%,46.9%,43.5%,2.0%,2.75,3.3%,81.1%,30.0%,0.0%,2.48,0.0%
2000 Miami R128,W vs Nalbandian,64.0%,46.9%,3.0%,2/1,2.29,21.3%,72.5%,35.1%,0.0%,2.21,32.6%,73.0%,63.0%,8.1%,2.39,6.3%
1999 Memphis F,L vs Haas,55.8%,31.0%,1.9%,1/0,1.98,25.0%,50.0%,14.3%,3.6%,1.88,38.5%,75.0%,46.7%,0.0%,2.14,0.0%
1997 Miami SF,L vs Muster,61.7%,37.8%,0.0%,0/0,2.24,34.5%,59.3%,43.8%,0.0%,2.00,58.8%,91.3%,33.3%,0.0%,2.58,0.0%
1996 Roland Garros QF,L vs Sampras,65.4%,43.1%,2.6%,4/0,2.16,40.4%,57.3%,47.3%,2.1%,2.11,61.7%,81.0%,38.3%,3.4%,2.21,19.1%
1996 Philadelphia F,W vs Woodruff,65.5%,55.3%,0.0%,0/0,2.00,9.7%,52.9%,50.0%,0.0%,2.25,18.8%,87.0%,60.0%,0.0%,1.73,0.0%
1996 Australian Open QF,L vs Agassi,75.7%,43.1%,6.9%,4/6,2.53,1.1%,73.1%,42.6%,6.5%,2.62,0.0%,87.2%,43.9%,8.5%,2.40,2.6%
1995 Paris SF,L vs Sampras,61.0%,52.0%,2.4%,1/1,1.63,27.0%,43.8%,42.9%,4.2%,1.69,38.5%,90.6%,58.6%,0.0%,1.52,8.3%
1995 US Open SF,L vs Sampras,53.5%,42.6%,0.8%,1/0,1.87,39.6%,41.3%,34.6%,0.0%,1.91,61.5%,73.7%,47.6%,1.8%,1.82,13.6%
1995 Australian Open QF,L vs Sampras,60.3%,40.4%,1.9%,2/1,2.05,25.9%,45.8%,31.6%,3.6%,2.00,38.0%,81.2%,46.4%,0.0%,2.14,3.9%
1994 Roland Garros SF,L vs Bruguera,75.7%,43.2%,1.9%,2/0,2.15,29.3%,70.3%,31.1%,3.1%,2.05,50.9%,85.7%,58.3%,0.0%,2.29,0.0%
1994 Miami SF,L vs Sampras,56.8%,52.2%,2.5%,2/0,2.21,48.1%,44.2%,47.4%,4.7%,2.11,61.3%,79.4%,55.6%,0.0%,2.36,28.6%
1994 Australian Open SF,L vs Sampras,63.5%,27.8%,1.2%,1/0,1.84,33.9%,53.7%,31.8%,2.4%,1.74,60.6%,84.2%,25.0%,0.0%,1.98,0.0%
1993 Indianapolis F,W vs Becker,58.3%,59.5%,4.2%,2/1,2.13,28.6%,48.8%,52.4%,7.0%,2.22,11.1%,77.8%,66.7%,0.0%,2.03,47.1%
1993 Wimbledon F,L vs Sampras,44.2%,41.5%,4.2%,1/4,1.77,43.2%,41.9%,41.9%,5.4%,1.88,56.1%,55.0%,40.9%,2.5%,1.68,31.9%
1993 Wimbledon F,L vs Sampras,44.2%,41.5%,4.2%,1/4,1.77,43.2%,41.9%,41.9%,5.4%,1.88,56.1%,55.0%,40.9%,2.5%,1.68,31.9%
1993 Wimbledon SF,W vs Edberg,62.1%,56.1%,6.8%,6/3,1.92,49.2%,70.1%,48.1%,3.9%,1.80,51.4%,90.3%,71.4%,19.4%,2.07,46.4%
1993 Roland Garros F,L vs Bruguera,67.0%,37.7%,1.7%,1/1,1.89,39.3%,76.3%,40.0%,1.7%,1.92,70.8%,91.4%,34.4%,2.9%,1.87,2.4%
1993 Roland Garros SF,W vs Krajicek,71.8%,54.4%,10.9%,8/4,2.24,80.0%,64.4%,55.3%,9.6%,2.22,76.5%,94.1%,53.1%,14.7%,2.29,89.5%
1993 Roland Garros R16,W vs Muster,62.3%,45.1%,1.8%,2/0,2.18,14.1%,80.0%,42.5%,2.0%,2.17,20.9%,86.1%,48.4%,2.8%,2.19,0.0%
Career (59 matches),,65.8%,48.5%,3.6%,53.7%,2.07,27.4%,63.5%,45.0%,3.4%,2.05,35.4%,81.5%,52.8%,4.7%,2.10,16.8%
