Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2005,,,,,,,,,,,1430,5,,
2000,290,105,,,,,,,,,427,85,,
1999,32,1071,21,1911,21,1859,27,1837,24,1757,194,315,,
1998,77,635,39,1869,29,1846,34,1840,38,1709,193,340,,
1997,21,1528,17,1955,11,1933,23,1909,24,1766,347,151,,
1996,26,1299,33,1890,14,1922,19,1924,23,1791,163,402,,
1995,8,,8,2056,7,2043,6,2026,10,1898,181,308,,
1994,13,,10,2041,7,2017,4,2070,9,1927,121,580,,
1993,3,,6,2090,4,2072,3,2113,4,1991,133,500,,
1992,1,,4,2145,4,2122,1,2094,9,1922,246,172,,
1991,2,,5,2107,5,2082,5,2040,9,1903,64,776,,
1990,25,,14,1959,11,1926,15,1917,25,1757,40,937,,
1989,24,,12,1954,13,1923,15,1900,43,1706,21,,,
1988,43,,39,1860,37,1800,53,1765,,,307,,,
1987,346,,,,,,,,,,697,,,
