Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2000 Miami R64,L vs Enqvist,2.3%,100.0%,10.1%,57.9%,8.1%,9.1%,33.3%,5.7%,20.0%,1.7%,20.0%,-22,14
2000 Miami R128,W vs Nalbandian,3.8%,100.0%,19.3%,75.0%,12.3%,18.4%,13.3%,7.9%,33.3%,2.1%,16.7%,25,29
1999 Memphis F,L vs Haas,2.6%,0.0%,14.1%,35.7%,5.1%,20.0%,0.0%,0.0%,0.0%,3.7%,50.0%,-3,86
1997 Miami SF,L vs Muster,6.4%,100.0%,17.1%,68.4%,12.3%,23.5%,14.3%,3.4%,0.0%,2.0%,66.7%,21,16
1996 Roland Garros QF,L vs Sampras,0.0%,-,6.9%,66.7%,14.7%,13.0%,11.5%,8.8%,28.6%,0.2%,0.0%,-7,15
1996 Philadelphia F,W vs Woodruff,0.0%,-,3.7%,100.0%,16.4%,9.5%,0.0%,11.8%,66.7%,0.0%,-,-20,8
1996 Australian Open QF,L vs Agassi,0.8%,100.0%,6.3%,72.2%,18.1%,18.4%,0.0%,10.4%,57.1%,0.9%,25.0%,-72,-39
1995 Paris SF,L vs Sampras,1.3%,100.0%,9.7%,93.8%,15.2%,20.7%,0.0%,12.7%,30.8%,1.8%,25.0%,8,-6
1995 US Open SF,L vs Sampras,2.3%,66.7%,9.3%,80.0%,16.3%,19.7%,2.2%,6.1%,25.0%,0.3%,100.0%,3,18
1995 Australian Open QF,L vs Sampras,0.0%,-,6.6%,54.5%,10.5%,8.0%,5.2%,9.5%,42.1%,0.3%,0.0%,-63,-70
1994 Roland Garros SF,L vs Bruguera,1.7%,0.0%,21.6%,68.0%,9.8%,11.9%,8.5%,2.8%,0.0%,1.5%,25.0%,-23,-17
1994 Miami SF,L vs Sampras,0.0%,-,4.6%,85.7%,9.9%,13.5%,3.8%,13.5%,50.0%,0.0%,-,-68,-60
1994 Australian Open SF,L vs Sampras,20.0%,86.7%,25.8%,71.4%,17.5%,19.4%,20.0%,12.5%,50.0%,0.9%,50.0%,-20,-20
1993 Indianapolis F,W vs Becker,0.0%,-,6.7%,66.7%,25.0%,20.0%,16.7%,9.4%,28.6%,0.0%,-,69,68
1993 Wimbledon F,L vs Sampras,15.9%,55.0%,14.9%,57.9%,23.2%,24.4%,5.9%,17.1%,62.5%,0.5%,0.0%,72,50
1993 Wimbledon F,L vs Sampras,15.9%,55.0%,14.9%,57.9%,23.2%,24.4%,5.9%,17.1%,62.5%,0.5%,0.0%,72,50
1993 Wimbledon SF,W vs Edberg,20.8%,59.1%,14.9%,66.7%,25.5%,21.4%,33.3%,19.2%,75.0%,0.0%,-,119,63
1993 Roland Garros F,L vs Bruguera,1.5%,50.0%,18.7%,63.8%,10.1%,8.2%,2.3%,4.1%,12.5%,0.5%,0.0%,-24,-49
1993 Roland Garros SF,W vs Krajicek,2.7%,33.3%,13.5%,70.0%,29.3%,16.7%,26.1%,30.3%,40.0%,0.5%,0.0%,119,76
1993 Roland Garros R16,W vs Muster,2.0%,100.0%,13.2%,82.8%,14.4%,17.7%,0.0%,7.5%,20.0%,0.6%,0.0%,-8,-31
Career (59 matches),,6.4%,59.7%,13.3%,66.9%,14.5%,17.5%,7.5%,10.5%,28.8%,0.6%,32.1%,-18,-9
