Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
11,Coco Vandeweghe [USA],5,6,45.5%,3,1,2,33.3%,2009,2021,6,1.02,1.8%,7.3%,70.8%,65.5%,43.0%,58.9%,41.9%,56.8%,45.8%
9,Karolina Pliskova [CZE],1,8,11.1%,8,3,5,37.5%,2012,2020,7,0.87,3.2%,7.2%,65.1%,65.4%,45.1%,58.3%,36.3%,47.2%,30.0%
8,Madison Keys [USA],1,7,12.5%,4,1,3,25.0%,2011,2022,7,0.77,1.7%,7.1%,64.7%,59.2%,42.9%,53.4%,36.0%,55.7%,36.6%
8,Sorana Cirstea [ROU],3,5,37.5%,2,1,1,50.0%,2007,2021,7,0.86,2.0%,5.8%,63.9%,59.3%,47.3%,55.0%,38.8%,52.7%,44.7%
8,Mirjana Lucic [CRO],5,3,62.5%,2,1,1,50.0%,2009,2016,6,1.26,4.7%,6.0%,64.9%,70.5%,50.8%,63.6%,46.1%,69.4%,49.1%
7,Magda Linette [POL],5,2,71.4%,4,2,2,50.0%,2016,2022,7,1.10,2.9%,3.7%,67.8%,63.1%,55.0%,60.5%,43.4%,52.0%,41.4%
7,Alize Cornet [FRA],7,0,100.0%,0,0,0,-,2011,2022,6,1.26,1.3%,4.2%,69.2%,61.7%,54.3%,59.4%,51.1%,70.3%,49.2%
7,Saisai Zheng [CHN],4,3,57.1%,0,0,0,-,2013,2019,4,1.10,2.2%,5.0%,71.2%,62.1%,52.5%,59.4%,44.5%,64.9%,32.6%
7,Varvara Lepchenko [USA],4,3,57.1%,3,3,0,100.0%,2010,2019,5,0.94,1.4%,8.1%,61.4%,67.0%,42.7%,57.6%,40.0%,51.2%,40.0%
7,Yanina Wickmayer [BEL],5,2,71.4%,1,0,1,0.0%,2010,2019,7,1.10,4.5%,5.4%,67.7%,66.8%,54.3%,62.7%,41.1%,56.7%,50.0%
7,Eugenie Bouchard [CAN],2,5,28.6%,1,0,1,0.0%,2010,2018,6,0.97,1.1%,5.1%,61.6%,62.8%,50.0%,57.9%,40.8%,48.6%,34.1%
7,Irina Falconi [USA],5,2,71.4%,1,1,0,100.0%,2009,2018,3,1.10,1.5%,5.1%,73.1%,59.0%,49.1%,56.3%,48.0%,52.4%,42.4%
6,Yulia Putintseva [KAZ],3,3,50.0%,3,0,3,0.0%,2012,2022,3,0.89,2.0%,5.7%,67.3%,56.4%,41.3%,51.4%,43.3%,54.5%,50.0%
6,Donna Vekic [CRO],3,3,50.0%,3,1,2,33.3%,2016,2022,6,1.10,3.3%,4.9%,66.2%,68.1%,48.7%,61.6%,42.3%,48.5%,29.2%
6,Madison Brengle [USA],6,0,100.0%,0,0,0,-,2009,2022,3,1.23,2.3%,4.6%,65.0%,63.1%,46.1%,57.1%,52.7%,54.5%,60.0%
