Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,249,118,131,47.4%,278-299,48.2%,2691-2727,49.7%,32-38,45.7%,235,65.3%,34.8%,2.6%,5.5%,66.1%,61.9%,46.2%,56.6%,43.3%,49.9%,1.00
Clay,57,18,39,31.6%,52-82,38.8%,572-666,46.2%,4-13,23.5%,57,60.1%,33.9%,1.9%,5.1%,66.8%,59.7%,42.8%,54.1%,42.6%,48.4%,0.93
Grass,86,52,34,60.5%,119-91,56.7%,1071-978,52.3%,15-15,50.0%,84,71.1%,34.2%,3.2%,4.8%,68.8%,65.7%,49.1%,60.5%,41.6%,51.0%,1.05
Grand Slams,75,31,44,41.3%,84-103,44.9%,822-890,48.0%,6-10,37.5%,74,65.0%,30.7%,2.8%,5.4%,66.5%,62.3%,44.3%,56.3%,42.1%,49.1%,0.96
Premiers,121,50,71,41.3%,129-157,45.1%,1316-1407,48.3%,20-26,43.5%,117,64.2%,32.9%,2.7%,5.3%,66.6%,61.4%,46.4%,56.4%,42.6%,49.4%,0.98
Internationals,157,94,63,59.9%,202-158,56.1%,1808-1631,52.6%,21-23,47.7%,148,67.3%,38.4%,2.6%,5.1%,67.2%,63.6%,47.6%,58.3%,43.7%,51.0%,1.05
Finals,13,3,10,23.1%,9-22,29.0%,131-171,43.4%,1-5,16.7%,12,63.8%,22.1%,3.3%,4.4%,64.9%,59.9%,48.0%,55.7%,37.8%,46.7%,0.85
Semi-finals,17,12,5,70.6%,24-13,64.9%,192-156,55.2%,1-1,50.0%,16,74.6%,41.9%,2.4%,4.4%,67.7%,64.7%,49.9%,59.9%,43.2%,51.4%,1.08
Quarter-finals,31,18,13,58.1%,37-32,53.6%,344-312,52.4%,3-6,33.3%,29,66.8%,40.6%,2.6%,5.8%,68.6%,63.8%,48.7%,59.1%,44.7%,51.6%,1.09
vs Righties,353,165,188,46.7%,394-430,47.8%,3834-3930,49.4%,44-61,41.9%,341,66.1%,33.5%,2.8%,5.3%,66.8%,62.4%,46.4%,57.1%,42.6%,49.8%,0.99
vs Lefties,31,18,13,58.1%,44-35,55.7%,410-365,52.9%,6-4,60.0%,27,60.6%,45.9%,1.9%,5.6%,66.5%,63.8%,44.7%,57.4%,44.1%,50.7%,1.04
vs Top 10,43,10,33,23.3%,33-71,31.7%,406-543,42.8%,3-10,23.1%,43,62.6%,24.8%,1.9%,5.8%,65.5%,60.3%,45.5%,55.2%,39.0%,47.0%,0.87
