Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 Wimbledon QF,L vs Williams,94.5,97.7,4.1,100.1,94.9,105,88,88.2,5.5,88.7,84.9,94,65
2019 Wimbledon R16,W vs Barty,94.6,98.3,4.0,99.8,94.9,106,88,87.4,3.9,87.3,85.6,93,79
2019 Wimbledon R32,W vs Bencic,93.5,95.4,4.5,99.0,95.0,106,85,85.9,4.1,89.0,83.5,93,78
2019 Wimbledon R128,W vs Vekic,92.5,96.2,4.2,97.6,94.6,104,82,84.2,3.8,83.2,84.1,92,73
2017 US Open R128,L vs Vandeweghe,94.1,96.0,3.2,99.0,97.4,102,89,88.4,2.9,87.5,90.0,95,83
2017 Wimbledon R32,L vs Vandeweghe,93.5,95.3,4.3,96.7,91.1,103,85,84.7,3.8,87.0,,90,79
2017 Wimbledon R64,W vs Mladenovic,91.2,93.0,4.4,95.9,90.8,102,81,83.4,2.6,83.3,85.0,87,78
2017 Roland Garros R128,L vs Strycova,84.6,85.9,9.8,,,102,63,82.2,6.5,,,93,68
2017 Australian Open R32,L vs Cirstea,87.4,90.5,6.4,95.2,88.2,103,70,81.6,5.2,86.7,,92,70
2017 Australian Open R64,W vs Zhang,87.3,90.4,6.9,95.8,86.3,100,63,81.3,6.6,82.0,79.0,91,60
2016 US Open R128,L vs Keys,93.7,96.6,4.1,98.7,94.2,105,86,87.6,4.4,88.4,81.5,93,74
2016 Wimbledon R128,L vs Vinci,94.4,98.0,4.1,101.3,95.9,105,89,88.1,3.7,90.5,81.0,96,80
2016 Roland Garros R128,L vs Golubic,92.2,94.8,6.1,,,104,75,83.1,7.1,,,93,67
2015 US Open R128,L vs Bouchard,93.8,96.6,3.8,,,102,85,86.0,5.2,,,96,75
2015 Wimbledon R128,L vs Safarova,100.3,101.9,4.2,,,109,88,93.8,3.8,,,99,85
2015 Roland Garros R128,L vs Errani,90.8,94.2,4.7,,,101,83,82.5,5.9,,,94,71
2014 US Open R128,L vs Ivanovic,98.7,102.4,3.3,,,108,93,92.7,2.7,,,98,87
2014 Wimbledon R32,L vs Sharapova,97.3,101.2,3.6,,,106,91,90.4,5.0,,,99,81
2014 Wimbledon R128,W vs Pavlyuchenkova,100.3,102.8,3.4,,,108,91,92.0,3.4,,,99,85
2014 Roland Garros R64,L vs Mladenovic,93.8,97.6,4.9,,,105,86,88.6,3.7,,,95,78
Career (28 matches),,93.8,96.5,4.6,98.0,93.1,109,63,86.6,4.5,86.4,84.3,99,60
