Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,1,0,1,0.0%,1-2,33.3%,13-18,41.9%,1-0,100.0%,0,,,,,,,,,,,,R32 (W100 Surbiton)
2019,7,6,1,85.7%,12-5,70.6%,96-64,60.0%,0-3,0.0%,2,73.9%,28.0%,2.6%,5.2%,66.2%,61.8%,50.0%,57.8%,39.7%,48.7%,0.94,W (W100 Surbiton)
2018,7,5,2,71.4%,11-4,73.3%,80-57,58.4%,0-0,-,2,36.4%,39.1%,2.8%,6.2%,60.7%,51.1%,35.1%,44.8%,46.5%,45.8%,0.84,W (Surbiton $100K)
2016,9,8,1,88.9%,16-4,80.0%,118-76,60.8%,2-1,66.7%,4,71.1%,40.4%,1.5%,6.2%,64.1%,70.3%,43.9%,60.8%,44.9%,52.2%,1.14,W (Eastbourne $50K)
2013,31,21,10,67.7%,47-30,61.0%,403-341,54.2%,4-4,50.0%,0,,,,,,,,,,,,F (Portland OR 50K)
2012,32,17,15,53.1%,39-35,52.7%,346-340,50.4%,5-4,55.6%,0,,,,,,,,,,,,SF (3x)
2011,40,27,13,67.5%,58-33,63.7%,468-376,55.5%,3-3,50.0%,0,,,,,,,,,,,,W (2x)
2010,46,34,12,73.9%,71-32,68.9%,558-400,58.2%,5-6,45.5%,0,,,,,,,,,,,,W (3x)
2009,39,26,13,66.7%,57-33,63.3%,444-350,55.9%,2-1,66.7%,0,,,,,,,,,,,,W (Troy AL 50K)
2008,6,3,3,50.0%,7-8,46.7%,60-77,43.8%,2-0,100.0%,0,,,,,,,,,,,,SF (StJoseph MO 10K)
2007,2,0,2,0.0%,0-4,0.0%,10-25,28.6%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,220,147,73,66.8%,319-190,62.7%,2596-2124,55.0%,24-22,52.2%,8,63.3%,36.8%,2.1%,5.9%,63.8%,63.3%,43.0%,55.9%,44.1%,49.6%,1.00,
