Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,26,13,13,50.0%,6,3,3,50.0%,2011,2023,R16,25,1.03,3.3%,4.6%,68.6%,62.3%,45.9%,57.2%,44.1%,47.8%,53.7%
Roland Garros,12,Clay,14,2,12,14.3%,5,2,3,40.0%,2010,2023,R64,14,0.84,2.1%,5.3%,64.1%,57.5%,38.6%,50.7%,41.5%,51.1%,36.8%
Wimbledon,13,Grass,27,14,13,51.9%,4,0,4,0.0%,2010,2023,QF,24,0.99,3.2%,5.3%,66.6%,63.6%,45.9%,57.7%,41.9%,57.7%,46.9%
US Open,15,Hard,24,9,15,37.5%,4,2,2,50.0%,2007,2022,R16,21,0.94,1.8%,6.3%,65.0%,62.3%,42.8%,55.5%,41.8%,55.4%,41.7%
Olympics,1,,1,0,1,0.0%,1,1,0,100.0%,2021,2021,R64,0,,,,,,,,,,
Fed Cup,3,,3,1,2,33.3%,2,1,1,50.0%,2014,2018,,2,1.11,2.4%,4.8%,66.4%,65.1%,50.0%,60.0%,44.4%,41.7%,57.1%
Indian Wells,11,Hard,15,4,11,26.7%,6,0,6,0.0%,2010,2023,R32,14,0.92,1.4%,5.8%,63.0%,60.7%,43.8%,54.5%,42.1%,51.2%,46.4%
Adelaide 2,2,Hard,7,4,3,57.1%,1,0,1,0.0%,2022,2023,F,7,1.00,4.4%,6.0%,63.1%,66.9%,48.2%,60.0%,39.8%,58.5%,46.7%
San Diego,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2010,2022,R32,2,0.92,2.8%,3.9%,78.1%,59.0%,51.3%,57.3%,39.3%,55.0%,38.9%
Tokyo,3,Hard,8,4,4,50.0%,2,1,1,50.0%,2015,2022,QF,6,1.11,5.0%,5.5%,62.1%,65.2%,51.0%,59.8%,44.5%,61.9%,51.1%
Cincinnati,11,Hard,17,6,11,35.3%,6,2,4,33.3%,2010,2022,R16,17,0.94,2.4%,6.2%,65.3%,62.1%,42.4%,55.2%,42.0%,54.1%,42.1%
Toronto,5,Hard,10,5,5,50.0%,5,4,1,80.0%,2011,2022,R16,10,1.02,2.1%,4.5%,65.5%,58.3%,50.7%,55.7%,45.1%,52.4%,44.1%
