Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),61,857,59,1785,63,1723,38,1750,58,1645,,,,
2025,104,623,59,1772,69,1717,54,1724,67,1638,,,,
2024,96,627,135,1656,143,1581,99,1651,121,1546,83,1015,,
2023,51,914,76,1738,101,1638,50,1728,70,1613,,,,
2022,128,435,134,1643,135,1588,113,1620,132,1518,,,,
2021,126,583,148,1617,185,1516,110,1622,145,1514,,,,
2020,99,728,81,1716,116,1582,49,1717,,,853,35,,
2019,172,294,136,1635,238,1458,96,1632,130,1534,,,,
2018,152,355,137,1634,222,1460,92,1641,125,1520,251,195,,
2017,119,499,165,1585,191,1493,108,1617,132,1518,534,92,,
2016,315,152,,,,,,,,,798,52,,
2015,660,43,,,,,,,,,1069,27,,
2014,853,18,,,,,,,,,,,,
2013,1225,5,,,,,,,,,1112,18,,
2012,1580,1,,,,,,,,,,,,
2011,1236,3,,,,,,,,,,,,
2010,928,9,,,,,,,,,,,,
2009,1180,4,,,,,,,,,,,,
2008,1408,2,,,,,,,,,,,,
