Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Santiago F,L vs Darderi,30,32,0.9,21.1%,22.5%,19,30,0.6,15.8%,25.0%,10.8%,5.0%,1.0,11.3%,11.3%
2025 Athens SF,L vs Djokovic,19,22,0.9,19.2%,22.2%,13,22,0.6,15.5%,26.2%,7.1%,3.6%,1.3,18.2%,14.1%
2025 Hagen CH F,W vs Den Ouden,33,26,1.3,20.1%,15.9%,30,25,1.2,20.1%,16.8%,12.8%,6.7%,0.6,14.0%,22.6%
2025 Roland Garros R128,L vs Musetti,24,33,0.7,14.2%,19.5%,24,30,0.8,15.0%,18.8%,10.6%,4.4%,2.0,23.1%,11.8%
2025 Brisbane R32,L vs Dimitrov,38,35,1.1,24.1%,22.2%,34,32,1.1,24.6%,23.2%,8.7%,5.8%,1.7,24.1%,14.6%
2024 Chengdu R16,W vs Mpetshi Perricard,50,17,2.9,33.8%,11.5%,42,15,2.8,37.8%,13.5%,10.8%,6.3%,3.3,33.8%,10.1%
2024 Wimbledon R128,L vs Sinner,44,38,1.2,18.3%,15.8%,32,35,0.9,15.5%,17.0%,9.7%,5.3%,1.6,19.6%,12.5%
2024 Rome Masters R128,W vs Mensik,15,11,1.4,12.1%,8.9%,14,11,1.3,12.7%,10.0%,8.2%,4.5%,0.5,14.5%,26.6%
2024 Miami Masters R32,L vs Dimitrov,6,19,0.3,9.1%,28.8%,4,16,0.3,6.9%,27.6%,6.9%,0.0%,2.0,18.2%,9.1%
2024 Miami Masters R128,W vs Ruusuvuori,32,35,0.9,19.0%,20.8%,21,33,0.6,14.1%,22.1%,8.1%,4.7%,0.7,13.1%,19.6%
2024 Indian Wells Masters R64,L vs Griekspoor,25,24,1.0,23.8%,22.9%,24,21,1.1,25.8%,22.6%,10.8%,5.4%,1.7,24.8%,14.3%
2023 US Open R128,L vs Sinner,30,31,1.0,17.2%,17.8%,23,28,0.8,14.7%,17.9%,9.6%,4.5%,1.4,17.2%,12.6%
2023 Wimbledon R128,L vs Fritz,42,49,0.9,15.1%,17.6%,32,45,0.7,13.0%,18.2%,6.5%,4.9%,1.2,15.1%,12.2%
2023 Mallorca R16,W vs Tsitsipas,28,11,2.5,18.1%,7.1%,23,7,3.3,16.9%,5.1%,7.4%,8.8%,1.1,16.1%,14.2%
2023 Halle R32,W vs Wessels,29,31,0.9,17.2%,18.3%,21,30,0.7,13.9%,19.9%,9.9%,4.0%,1.0,12.4%,12.4%
2023 Roland Garros R64,L vs Cerundolo,21,53,0.4,9.3%,23.6%,19,51,0.4,9.1%,24.5%,6.3%,2.9%,0.6,15.6%,25.3%
2023 Rome Masters QF,L vs Medvedev,18,28,0.6,15.5%,24.1%,18,28,0.6,17.8%,27.7%,13.9%,4.0%,1.5,19.0%,12.9%
2023 Rome Masters R64,W vs Fritz,28,16,1.8,28.9%,16.5%,26,16,1.6,28.3%,17.4%,20.7%,4.3%,0.7,18.6%,25.8%
2023 Rome Masters R128,W vs Jarry,26,15,1.7,21.3%,12.3%,22,15,1.5,19.1%,13.0%,7.0%,2.6%,0.8,22.1%,28.7%
2021 US Open R128,L vs Bublik,30,41,0.7,15.5%,21.2%,24,38,0.6,15.4%,24.4%,7.1%,4.5%,1.2,24.9%,20.7%
Career (30 matches),,778,869,0.9,16.5%,18.4%,649,818,0.8,15.4%,19.4%,8.3%,3.9%,1.1,16.8%,15.4%
