Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Santiago F,L vs Darderi,33.8%,40.8%,48.9%,40.0%,42.2%,51.1%,50.0%,52.0%,31.6%,50.0%,100.0%,20.8%,25.0%,47.4%,37
2025 Athens SF,L vs Djokovic,33.3%,47.9%,43.8%,40.8%,40.0%,57.1%,47.6%,50.3%,63.2%,31.3%,66.7%,15.4%,23.1%,36.4%,-79
2025 Hagen CH F,W vs Den Ouden,22.5%,43.8%,59.0%,34.9%,25.4%,50.8%,59.1%,42.2%,32.1%,51.6%,100.0%,15.0%,25.0%,58.8%,-7
2025 Roland Garros R128,L vs Musetti,6.1%,18.2%,50.0%,14.3%,4.8%,17.7%,47.5%,18.1%,43.3%,50.0%,62.5%,8.8%,20.6%,54.8%,-29
2024 Brisbane R32,L vs Dimitrov,23.2%,35.8%,45.7%,30.3%,26.2%,41.5%,50.0%,36.6%,40.0%,57.5%,100.0%,18.5%,25.9%,36.4%,65
2024 Chengdu R16,W vs Mpetshi Perricard,43.8%,63.0%,64.1%,52.6%,46.8%,63.8%,60.0%,60.4%,45.5%,52.0%,100.0%,41.7%,66.7%,71.4%,37
2024 Wimbledon R128,L vs Sinner,25.4%,36.8%,50.0%,31.9%,30.8%,43.6%,53.7%,40.3%,42.5%,44.7%,25.0%,15.2%,24.2%,42.9%,35
2024 Rome R128,W vs Mensik,32.7%,46.9%,60.6%,42.4%,34.3%,51.4%,69.6%,48.0%,43.8%,36.8%,0.0%,28.6%,35.7%,40.0%,-79
2024 Miami R32,L vs Dimitrov,17.6%,26.5%,28.0%,20.6%,30.0%,40.0%,35.7%,35.0%,30.0%,30.0%,0.0%,0.0%,9.1%,18.2%,-118
2024 Miami R128,W vs Ruusuvuori,29.9%,41.4%,49.2%,36.6%,35.1%,49.1%,45.9%,45.3%,37.5%,54.5%,66.7%,21.4%,28.6%,54.5%,22
2024 Indian Wells R64,L vs Griekspoor,21.8%,32.7%,50.0%,26.7%,29.7%,37.8%,46.2%,37.0%,31.6%,61.1%,50.0%,6.7%,26.7%,57.1%,-57
2023 Mallorca R16,W vs Tsitsipas,39.1%,50.7%,63.2%,46.4%,53.3%,62.2%,57.1%,64.4%,35.0%,56.0%,-,15.0%,35.0%,70.6%,19
2023 Halle R32,W vs Wessels,34.6%,48.7%,54.0%,43.1%,43.4%,54.7%,56.7%,55.8%,53.8%,40.7%,100.0%,16.7%,37.5%,50.0%,-19
2023 Roland Garros R64,L vs Cerundolo,14.5%,22.2%,45.9%,18.1%,18.8%,26.3%,36.9%,24.0%,34.2%,50.0%,54.5%,5.7%,14.3%,63.6%,-59
2023 Rome QF,L vs Medvedev,6.3%,18.8%,35.6%,11.7%,8.8%,20.6%,25.8%,16.5%,57.9%,60.0%,25.0%,0.0%,14.3%,57.1%,-118
2023 Rome R64,W vs Fritz,15.9%,29.5%,67.6%,25.9%,20.0%,36.0%,65.0%,37.6%,50.0%,53.8%,0.0%,10.5%,21.1%,70.6%,-79
2023 Rome R128,W vs Jarry,30.9%,36.4%,60.5%,36.9%,36.6%,43.9%,69.2%,44.6%,35.0%,38.1%,100.0%,14.3%,14.3%,41.7%,-79
2021 Miami R64,L vs Khachanov,18.9%,24.5%,31.0%,24.0%,31.0%,41.4%,40.0%,40.3%,57.1%,26.7%,33.3%,4.3%,4.3%,22.7%,-72
2020 Kitzbuhel F,L vs Kecmanovic,31.4%,41.2%,45.5%,36.5%,40.7%,55.6%,50.0%,50.4%,46.2%,85.7%,100.0%,22.7%,27.3%,41.2%,47
2019 Augsburg CH F,W vs Ruusuvuori,31.5%,46.1%,51.7%,38.4%,33.3%,50.0%,50.0%,43.7%,48.5%,55.6%,75.0%,30.8%,42.3%,55.6%,78
Career (23 matches),,25.5%,37.4%,49.0%,32.4%,30.9%,44.1%,48.7%,41.2%,44.6%,49.8%,57.8%,16.2%,26.3%,49.7%,26
