Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1979 Davis Cup SF RR,W vs Lendl,18.2%,29.5%,55.4%,26.2%,30.0%,44.0%,51.4%,44.2%,50.0%,57.7%,50.0%,3.2%,12.9%,60.0%,-87
1979 Palermo SF,L vs Barazzutti,20.5%,23.1%,34.5%,29.5%,36.4%,40.9%,42.9%,52.3%,38.5%,66.7%,100.0%,0.0%,0.0%,26.7%,-118
1979 Rome QF,L vs Vilas,22.4%,33.6%,44.7%,30.6%,32.8%,47.5%,43.9%,47.0%,84.8%,39.3%,40.0%,10.3%,17.9%,45.7%,-20
1978 Rome F,L vs Borg,9.6%,23.7%,43.8%,19.1%,16.2%,37.8%,45.2%,33.5%,32.4%,59.5%,83.3%,2.9%,11.4%,41.2%,-90
1974 Bastad F,L vs Borg,17.3%,30.0%,39.8%,25.1%,21.7%,36.2%,40.7%,34.2%,51.6%,73.7%,60.0%,10.5%,21.1%,38.2%,-11
Career (5 matches),,16.7%,28.4%,44.4%,25.2%,25.4%,40.9%,44.7%,40.1%,52.9%,59.4%,65.4%,6.3%,14.6%,43.9%,-56
