Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,1,Grass,1,0,1,0.0%,0,0,0,-,1969,1969,R64,0,,,,,,,,,,
Roland Garros,14,Clay,48,35,13,72.9%,10,7,3,70.0%,1969,1982,W,0,,,,,,,,,,
Wimbledon,9,Grass,26,17,9,65.4%,8,7,1,87.5%,1970,1980,QF,0,,,,,,,,,,
US Open,7,Hard,17,10,7,58.8%,9,5,4,55.6%,1972,1981,R16,0,,,,,,,,,,
Davis Cup,14,,60,35,25,58.3%,0,0,0,-,1970,1983,,0,,,,,,,,,,
Rome,15,Clay,37,22,15,59.5%,12,8,4,66.7%,1968,1983,F,0,,,,,,,,,,
Florence,10,Clay,28,20,8,71.4%,7,5,2,71.4%,1973,1983,W,0,,,,,,,,,,
Barcelona,8,Clay,27,19,8,70.4%,7,5,2,71.4%,1968,1982,F,0,,,,,,,,,,
Palermo,7,Clay,18,11,7,61.1%,1,1,0,100.0%,1969,1982,SF,0,,,,,,,,,,
Las Vegas,4,Hard,11,5,6,45.5%,2,0,2,0.0%,1976,1980,QF,0,,,,,,,,,,
Monte Carlo,5,Clay,11,6,5,54.5%,4,3,1,75.0%,1973,1982,SF,0,,,,,,,,,,
