Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1984,,,,,,,,,,,678,0,,
1982,,,57,1809,75,1699,35,1817,,,,,,
1981,40,,34,1885,64,1712,21,1915,,,,,,
1980,32,,21,1956,48,1748,15,1973,41,1761,,,,
1979,28,,50,1838,51,1747,26,1895,48,1738,,,,
1978,23,,25,1921,21,1843,22,1901,46,1736,,,,
1977,23,,34,1861,20,1848,16,1935,54,1712,,,,
1976,7,,13,2040,14,1899,9,2035,15,1862,,,,
1975,14,,13,2022,23,1877,11,2005,29,1814,,,,
1974,34,,50,1816,52,1732,31,1846,56,1730,,,,
1973,14,,27,1920,35,1795,17,1912,46,1754,,,,
